@relation 'activity_recognition_dataset_modifier-weka.filters.unsupervised.attribute.Remove-R1-9,11-40,43-49,52,55-56,58-102,106-234,236-260,262-287,290-366,370-510,512-523,525-558,560-562'

@attribute tBodyAcc-max()-X numeric
@attribute tGravityAcc-mean()-X numeric
@attribute tGravityAcc-mean()-Y numeric
@attribute tGravityAcc-max()-X numeric
@attribute tGravityAcc-max()-Y numeric
@attribute tGravityAcc-min()-X numeric
@attribute tGravityAcc-min()-Y numeric
@attribute tGravityAcc-energy()-X numeric
@attribute tBodyAccJerk-entropy()-X numeric
@attribute tBodyAccJerk-entropy()-Y numeric
@attribute tBodyAccJerk-entropy()-Z numeric
@attribute tBodyAccJerkMag-entropy() numeric
@attribute tBodyGyroJerkMag-entropy() numeric
@attribute fBodyAcc-entropy()-X numeric
@attribute fBodyAcc-entropy()-Y numeric
@attribute fBodyAccJerk-entropy()-X numeric
@attribute fBodyAccJerk-entropy()-Y numeric
@attribute fBodyAccJerk-entropy()-Z numeric
@attribute fBodyAccMag-entropy() numeric
@attribute fBodyBodyAccJerkMag-entropy() numeric
@attribute angle(X-gravityMean) numeric
@attribute activity {STANDING,SITTING,LAYING,WALKING,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS}

@data
-0.931896,0.835664,0.160675,0.790631,0.151581,0.849573,0.12129,0.577092,-0.70518,-0.895253,-0.833,-0.870628,-0.889763,-0.892879,-0.67894,-1,-1,-1,-0.695654,-1,-0.564807,SITTING
-0.935389,0.83696,0.151877,0.766022,0.146081,0.850499,0.167701,0.580155,-0.831832,-0.84773,-0.770403,-0.857807,-0.907633,-0.907316,-0.785427,-1,-1,-1,-0.816674,-1,-0.579367,SITTING
-0.737152,0.838788,0.150702,0.768785,0.141213,0.858348,0.167701,0.584552,-0.408698,-0.279222,-0.191195,-0.147048,-0.050458,-0.004793,-0.151624,-0.384718,-0.361909,-0.454913,-0.062459,-0.413513,-0.582806,SITTING
-0.737152,0.810805,0.195595,0.768785,0.285064,0.716291,0.174435,0.519472,0.058529,-0.043095,-0.094543,0.135082,0.512457,-0.06621,-0.063287,-0.274526,-0.309374,-0.427158,-0.063235,-0.392915,-0.552939,SITTING
-0.916064,0.703086,0.314068,0.768591,0.391835,0.624988,0.198689,0.281388,-0.125904,-0.460453,-0.597827,-0.238659,0.079108,-0.203219,-0.27015,-0.485126,-0.618236,-0.653536,-0.305378,-0.573394,-0.418368,SITTING
-0.916064,0.618258,0.409503,0.613234,0.39282,0.624988,0.346235,0.097539,-0.664456,-0.80344,-0.885672,-0.772511,-0.507796,-0.687597,-0.439199,-1,-1,-1,-0.436499,-1,-0.305884,SITTING
-0.916825,0.622066,0.419867,0.558103,0.39282,0.626149,0.433709,0.104897,-0.875096,-0.84773,-0.885554,-0.865724,-0.795781,-0.854006,-0.889911,-1,-1,-1,-0.752056,-1,-0.309195,SITTING
-0.941617,0.627451,0.415037,0.558103,0.378554,0.651321,0.433709,0.115677,-0.915776,-0.836903,-0.848686,-0.889278,-0.782713,-0.946357,-0.94487,-1,-1,-1,-0.946182,-1,-0.316732,SITTING
-0.941617,0.625323,0.416489,0.553923,0.378554,0.651321,0.435089,0.111366,-0.875096,-0.816372,-0.832218,-0.909358,-0.697752,-0.946357,-1,-1,-1,-1,-1,-1,-0.314575,SITTING
-0.938312,0.625774,0.416857,0.553658,0.379069,0.651793,0.43716,0.112277,-0.817601,-0.84773,-0.848686,-0.920737,-0.704246,-0.946357,-1,-1,-1,-1,-1,-1,-0.314886,SITTING
-0.939637,0.890938,0.113591,0.836561,0.157018,0.895032,0.114673,0.713041,-0.648813,-0.522598,-0.704934,-0.63018,-0.608184,-0.820753,-0.506018,-1,-1,-1,-0.572734,-0.940965,-0.654356,SITTING
-0.939637,0.87654,0.125581,0.81833,0.110456,0.894955,0.117503,0.67697,-0.733366,-0.849017,-0.746139,-0.830802,-0.766689,-0.907316,-0.757953,-1,-1,-1,-0.790533,-1,-0.650782,SITTING
-0.939789,0.874822,0.140067,0.802234,0.110693,0.894955,0.15705,0.672685,-0.769828,-0.882691,-0.741217,-0.883246,-0.754614,-1,-0.94487,-1,-1,-1,-1,-1,-0.645146,SITTING
-0.939789,0.876462,0.139236,0.802464,0.110693,0.896824,0.160942,0.676751,-0.787925,-0.816372,-0.757001,-0.848659,-0.704464,-1,-0.94487,-1,-1,-1,-1,-1,-0.646578,SITTING
-0.94012,0.876454,0.138434,0.802464,0.112655,0.897084,0.160942,0.676731,-0.817601,-0.797235,-0.76535,-0.821896,-0.768745,-1,-0.94487,-1,-1,-1,-0.946182,-1,-0.647062,SITTING
-0.941715,0.875381,0.142223,0.802162,0.114416,0.896397,0.161142,0.67407,-0.839274,-0.826456,-0.768706,-0.838706,-0.870634,-0.946357,-0.889911,-1,-1,-1,-1,-1,-0.645105,SITTING
-0.941715,0.875798,0.142585,0.802749,0.114416,0.896397,0.164245,0.675105,-0.807351,-0.849017,-0.813859,-0.890448,-0.81873,-0.946357,-0.94487,-1,-1,-1,-1,-1,-0.646334,SITTING
-0.942012,0.875995,0.14163,0.802749,0.114524,0.896513,0.164245,0.675594,-0.75742,-0.849017,-0.8582,-0.907576,-0.812921,-1,-0.904748,-1,-1,-1,-1,-1,-0.647997,SITTING
-0.943243,0.874782,0.144858,0.801809,0.115863,0.896314,0.165041,0.672583,-0.748262,-0.788157,-0.830646,-0.946284,-0.853477,-1,-0.94487,-1,-1,-1,-1,-1,-0.646254,SITTING
-0.938573,0.874746,0.145603,0.800794,0.115863,0.896314,0.168441,0.672496,-0.75742,-0.770924,-0.806808,-0.927732,-0.828506,-1,-0.94487,-1,-1,-1,-1,-1,-0.646044,SITTING
-0.938573,0.874232,0.145727,0.800794,0.118028,0.894436,0.168441,0.671221,-0.748262,-0.836903,-0.854116,-0.813468,-0.836378,-1,-0.94487,-1,-1,-1,-1,-1,-0.644851,SITTING
-0.940684,0.873242,0.147586,0.800018,0.118145,0.894411,0.16911,0.668769,-0.797465,-0.836903,-0.876096,-0.845833,-0.851654,-0.946357,-0.94487,-1,-1,-1,-0.946182,-1,-0.64322,SITTING
-0.940684,0.874109,0.145677,0.800813,0.118145,0.894411,0.16738,0.670917,-0.828235,-0.806636,-0.813859,-0.892918,-0.783214,-1,-0.889911,-1,-1,-1,-1,-1,-0.64546,SITTING
-0.785104,-0.255044,0.774659,-0.271905,0.729228,-0.289102,0.786501,-0.95358,-0.501587,-0.433234,-0.543131,-0.424745,-0.173611,-0.430487,-0.316077,-0.646947,-0.52131,-0.942216,-0.369281,-0.548877,0.432479,LAYING
-0.920051,-0.210148,0.773905,-0.271905,0.729228,-0.194196,0.787124,-0.935651,-0.729757,-0.811555,-0.785993,-0.816502,-0.88382,-0.820753,-0.94487,-1,-1,-1,-0.873482,-1,0.399853,LAYING
-0.940164,-0.208765,0.771712,-0.272119,0.725186,-0.165103,0.786652,-0.935042,-0.787925,-0.83698,-0.797869,-0.829532,-0.886893,-0.907316,-1,-1,-1,-1,-1,-1,0.399066,LAYING
-0.940773,-0.209564,0.771097,-0.277873,0.723571,-0.165103,0.786197,-0.935437,-0.817601,-0.858956,-0.885672,-0.8608,-0.908623,-0.946357,-1,-1,-1,-1,-1,-1,0.399555,LAYING
-0.942673,-0.208748,0.771037,-0.277873,0.723519,-0.163477,0.786197,-0.93504,-0.817601,-0.836903,-0.830646,-0.871967,-0.923788,-1,-1,-1,-1,-1,-1,-1,0.398889,LAYING
-0.938974,-0.208717,0.771291,-0.277729,0.723519,-0.163089,0.786386,-0.935025,-0.797465,-0.825386,-0.750798,-0.82315,-0.903909,-0.946357,-1,-1,-1,-1,-1,-1,0.398897,LAYING
-0.938974,-0.208633,0.771351,-0.277682,0.723563,-0.163251,0.786554,-0.934984,-0.769828,-0.849017,-0.8221,-0.815909,-0.877672,-0.946357,-1,-1,-1,-1,-1,-1,0.398881,LAYING
-0.939453,-0.20856,0.770749,-0.276828,0.723563,-0.163251,0.785042,-0.934948,-0.807351,-0.84773,-0.8221,-0.846939,-0.888576,-1,-1,-1,-1,-1,-1,-1,0.398778,LAYING
-0.938449,-0.207607,0.769923,-0.275473,0.722989,-0.163245,0.785036,-0.93448,-0.817601,-0.748236,-0.805914,-0.879011,-0.932034,-1,-0.94487,-1,-1,-1,-1,-1,0.39802,LAYING
-0.933459,-0.206363,0.769296,-0.275281,0.721955,-0.161637,0.78402,-0.933869,-0.753629,-0.721327,-0.790152,-0.916208,-0.933612,-1,-0.94487,-1,-1,-1,-1,-1,0.397134,LAYING
-0.933459,-0.206499,0.769152,-0.275281,0.722155,-0.161663,0.78402,-0.933937,-0.708021,-0.858956,-0.793959,-0.899422,-0.887567,-0.946357,-1,-1,-1,-1,-1,-1,0.397303,LAYING
-0.939881,-0.207026,0.769628,-0.275726,0.722194,-0.161663,0.78419,-0.934196,-0.752955,-0.858956,-0.774686,-0.908344,-0.843877,-1,-1,-1,-1,-1,-1,-1,0.397758,LAYING
-0.939221,-0.206992,0.769467,-0.276099,0.722194,-0.161663,0.784682,-0.934179,-0.714237,-0.806636,-0.78523,-0.859539,-0.874026,-1,-1,-1,-1,-1,-1,-1,0.397791,LAYING
-0.891284,0.044744,0.758454,0.366644,0.746144,-0.034266,0.645142,-0.730883,-0.048739,-0.263092,-0.370005,-0.09801,0.197581,-0.06293,-0.202969,-0.468573,-0.359576,-0.472576,-0.018083,-0.366175,0.205759,LAYING
-0.891284,-0.047728,0.768669,-0.091058,0.746144,-0.034266,0.767983,-0.832169,-0.574383,-0.691235,-0.598232,-0.694904,-0.414941,-0.791213,-0.761353,-1,-1,-0.942216,-0.790533,-0.898,0.278544,LAYING
-0.925208,-0.0417,0.755542,-0.091058,0.718524,-0.113391,0.742818,-0.826864,-0.232701,0.040662,-0.142788,-0.024994,0.368553,-0.004436,0.241522,-0.361315,0.044567,-0.272705,0.172079,-0.222196,0.272083,LAYING
-0.878149,-0.187704,0.702622,-0.091207,0.718524,-0.361042,0.633282,-0.904559,0.037543,0.288804,-0.097064,0.138279,0.543897,-0.029005,0.224944,-0.301726,0.106158,-0.188981,0.131318,-0.155425,0.378792,LAYING
-0.830561,-0.35146,0.655186,-0.233579,0.676927,-0.361858,0.633282,-0.982168,-0.228859,-0.104689,-0.464084,-0.3275,0.162627,-0.104616,-0.241013,-0.75852,-0.574643,-0.63765,-0.152384,-0.861217,0.502386,LAYING
-0.717081,-0.339392,0.697097,-0.351767,0.705769,-0.361858,0.638743,-0.981132,-0.03038,0.170213,0.00001,0.123539,0.459865,0.010985,0.07544,-0.239725,-0.283634,-0.32093,0.059523,-0.366175,0.494535,LAYING
-0.717081,-0.36048,0.716437,-0.351767,0.720434,-0.555148,0.571697,-0.979776,0.370658,0.450002,0.335632,0.507161,0.81165,0.366556,0.568263,0.164769,0.540284,0.218722,0.364998,0.192543,0.508733,LAYING
-0.866296,-0.573496,0.525105,-0.363399,0.720434,-0.709935,0.153317,-0.965197,0.355084,0.336771,0.056351,0.478213,0.730502,0.369385,0.490648,0.138138,0.537429,0.142599,0.440201,0.176795,0.668284,LAYING
-0.866296,-0.741821,0.160141,-0.683154,0.505254,-0.71024,-0.079832,-0.933209,-0.173932,0.007538,-0.454258,-0.135562,0.058396,-0.246966,-0.15785,-0.43585,-0.457403,-0.503761,0.037779,-0.360213,0.79297,LAYING
-0.920486,-0.756725,-0.058996,-0.817725,0.090769,-0.71024,-0.080349,-0.926915,-0.527423,-0.302419,-0.642856,-0.632841,-0.361237,-0.791213,-0.121221,-0.943699,-0.93912,-1,-0.136049,-0.940965,0.796928,LAYING
-0.929943,-0.756077,-0.06842,-0.817725,-0.071104,-0.702503,-0.080349,-0.927269,-0.550216,-0.704919,-0.705447,-0.693144,-0.406997,-0.817269,-0.634742,-0.902724,-1,-1,-0.643434,-0.940965,0.797394,LAYING
-0.937754,-0.758751,-0.045998,-0.822801,-0.06639,-0.702503,-0.032168,-0.925891,-0.748262,-0.806636,-0.861319,-0.894723,-0.753953,-1,-0.904748,-1,-1,-1,-0.907014,-1,0.799174,LAYING
-0.937754,-0.756439,-0.040043,-0.821137,-0.060687,-0.701972,-0.017831,-0.927091,-0.73722,-0.84773,-0.749189,-0.920318,-0.763848,-1,-0.904748,-1,-1,-1,-0.907014,-1,0.797257,LAYING
-0.93651,-0.755077,-0.034589,-0.821137,-0.05755,-0.698842,-0.01246,-0.927797,-0.650052,-0.793046,-0.740841,-0.87376,-0.76944,-0.907316,-0.94487,-1,-1,-1,-1,-1,0.796412,LAYING
-0.154731,0.945303,-0.245941,0.880052,-0.252564,0.960748,-0.248151,0.851975,0.594592,0.649671,0.590619,0.768912,0.892475,0.538905,0.52872,0.665137,0.563729,0.131522,0.629059,0.484926,-0.773707,WALKING
-0.154731,0.941113,-0.252035,0.873172,-0.252564,0.953407,-0.243722,0.841063,0.714579,0.674098,0.515351,0.760292,0.834085,0.573236,0.587843,0.52278,0.542132,0.294396,0.638492,0.438225,-0.767163,WALKING
-0.175559,0.946364,-0.264278,0.884731,-0.270062,0.953407,-0.244126,0.854795,0.713008,0.695782,0.562435,0.688843,0.878237,0.681561,0.459259,0.667602,0.635262,0.19649,0.580957,0.441372,-0.757414,WALKING
-0.152773,0.952445,-0.259838,0.884731,-0.273255,0.962737,-0.244126,0.870657,0.631484,0.682743,0.653239,0.730801,0.870311,0.678355,0.533849,0.678097,0.504683,0.363307,0.527338,0.408291,-0.762534,WALKING
-0.152773,0.947125,-0.2571,0.882346,-0.273595,0.960761,-0.230658,0.856744,0.505548,0.807173,0.578778,0.743025,0.881346,0.474393,0.664003,0.554427,0.705691,0.401854,0.603808,0.510199,-0.763968,WALKING
-0.073476,0.945749,-0.254778,0.877173,-0.265421,0.960761,-0.228546,0.853137,0.682666,0.756442,0.60373,0.67135,0.949422,0.566784,0.605276,0.436604,0.527795,0.405999,0.43979,0.484554,-0.766186,WALKING
-0.073476,0.950212,-0.24483,0.878955,-0.253457,0.966672,-0.226683,0.864796,0.753254,0.681836,0.539322,0.695304,0.976952,0.640453,0.577674,0.661391,0.589284,0.378261,0.575008,0.519691,-0.776677,WALKING
-0.209291,0.94913,-0.236905,0.879127,-0.253234,0.961179,-0.213715,0.861978,0.667793,0.751962,0.557178,0.739818,0.959946,0.383122,0.578896,0.626559,0.610467,0.386674,0.606374,0.432251,-0.784225,WALKING
-0.290397,0.946917,-0.262056,0.876542,-0.27383,0.95788,-0.265328,0.856187,0.724317,0.650908,0.416139,0.690451,0.92942,0.529731,0.530664,0.571857,0.592953,0.272056,0.444937,0.336284,-0.760176,WALKING
-0.068583,0.94687,-0.255801,0.875381,-0.272068,0.962708,-0.231067,0.856057,0.696156,0.692547,0.476358,0.743207,0.927371,0.490382,0.66881,0.60064,0.70382,0.317506,0.592319,0.437961,-0.764113,WALKING
-0.068583,0.945419,-0.254668,0.875381,-0.272068,0.961715,-0.226849,0.852272,0.610158,0.62257,0.499154,0.712785,0.919621,0.496729,0.557978,0.621225,0.559974,0.342297,0.417445,0.415282,-0.765488,WALKING
-0.091285,0.941937,-0.255759,0.871812,-0.274101,0.953764,-0.227029,0.8432,0.62471,0.608536,0.615163,0.79093,0.881232,0.564468,0.468213,0.620916,0.625677,0.35541,0.458208,0.405373,-0.764601,WALKING
-0.091285,0.937468,-0.2584,0.869066,-0.274261,0.952754,-0.235715,0.831594,0.613628,0.743371,0.663503,0.75497,0.895514,0.455155,0.542967,0.621233,0.625004,0.385657,0.551413,0.348023,-0.760242,WALKING
-0.000818,0.937195,-0.266212,0.872634,-0.277085,0.952754,-0.24326,0.83089,0.613336,0.681577,0.627309,0.759089,0.901889,0.651331,0.501334,0.652974,0.601331,0.377443,0.534301,0.509176,-0.752882,WALKING
-0.000818,0.947823,-0.265399,0.887644,-0.273284,0.955641,-0.24326,0.85862,0.672973,0.724454,0.625011,0.769102,0.896126,0.648355,0.652291,0.647572,0.751009,0.432907,0.626714,0.381546,-0.755976,WALKING
-0.074992,0.957365,-0.258512,0.88908,-0.273284,0.967749,-0.239731,0.883577,0.679426,0.743568,0.542365,0.802178,0.954851,0.645902,0.681032,0.686061,0.770604,0.278027,0.509637,0.49128,-0.763997,WALKING
-0.074992,0.954731,-0.254213,0.88908,-0.269217,0.963674,-0.229476,0.876662,0.723719,0.689986,0.461687,0.801898,0.868438,0.659149,0.436367,0.694763,0.611697,0.414692,0.51677,0.41886,-0.768015,WALKING
-0.114953,0.945028,-0.251478,0.880104,-0.268175,0.957697,-0.227074,0.851278,0.728613,0.628631,0.514817,0.793441,0.86222,0.542806,0.600211,0.698923,0.494163,0.380937,0.630097,0.555809,-0.769477,WALKING
-0.178067,0.943344,-0.244003,0.87458,-0.250288,0.957697,-0.222825,0.846874,0.644158,0.601863,0.527598,0.844136,0.902847,0.53518,0.635467,0.592288,0.628885,0.379416,0.581092,0.451024,-0.776736,WALKING
-0.278328,0.948648,-0.234382,0.878167,-0.250288,0.961575,-0.21639,0.860706,0.564846,0.563323,0.56798,0.790974,0.92604,0.61763,0.546914,0.522391,0.654324,0.295983,0.551142,0.397046,-0.786963,WALKING
0.032522,0.956418,-0.260003,0.886645,-0.275615,0.968836,-0.234041,0.881081,0.572987,0.616076,0.581547,0.773285,0.945708,0.682114,0.668616,0.65221,0.716938,0.345664,0.575113,0.462963,-0.764185,WALKING
0.032522,0.9515,-0.263563,0.885451,-0.279456,0.953105,-0.241615,0.868235,0.640883,0.668502,0.63422,0.800416,0.984431,0.708026,0.530838,0.606432,0.642487,0.322071,0.569806,0.538787,-0.756998,WALKING
0.022737,0.938514,-0.268419,0.883161,-0.280788,0.948663,-0.242784,0.834387,0.671292,0.526428,0.524248,0.762225,0.931085,0.758172,0.418322,0.690993,0.636793,0.244506,0.584123,0.405888,-0.750739,WALKING
0.022737,0.934472,-0.269365,0.866357,-0.286559,0.948663,-0.242784,0.823835,0.690133,0.565686,0.483565,0.813661,0.834873,0.633093,0.701007,0.727402,0.801465,0.384548,0.583053,0.533338,-0.749963,WALKING
-0.066364,0.93776,-0.268829,0.869894,-0.286583,0.951106,-0.242024,0.832359,0.710829,0.632365,0.524218,0.762225,0.893319,0.721752,0.757241,0.730391,0.76013,0.409052,0.624965,0.614814,-0.751209,WALKING
-0.158517,0.938616,-0.268285,0.869894,-0.278427,0.951106,-0.242024,0.834578,0.696527,0.705092,0.627497,0.816589,0.901889,0.699829,0.768411,0.640234,0.777382,0.301516,0.62157,0.541964,-0.752181,WALKING
-0.110011,0.940759,-0.258864,0.880036,-0.266912,0.954665,-0.241658,0.840149,0.650664,0.784981,0.589413,0.753552,0.928764,0.737023,0.638763,0.671359,0.759249,0.332369,0.545398,0.453114,-0.761917,WALKING
-0.019153,0.950222,-0.249071,0.886497,-0.266912,0.955476,-0.226983,0.864892,0.678847,0.617093,0.522111,0.749603,0.909034,0.577206,0.540483,0.632912,0.617976,0.268343,0.513669,0.443601,-0.773199,WALKING
-0.019153,0.956835,-0.245663,0.886497,-0.260234,0.973408,-0.218219,0.882171,0.57249,0.631386,0.464428,0.764691,0.909368,0.676217,0.500315,0.68247,0.728523,0.354321,0.598606,0.434531,-0.777332,WALKING
-0.085915,0.953675,-0.242554,0.883046,-0.257654,0.968621,-0.222414,0.873872,0.687908,0.722563,0.589953,0.833954,0.959675,0.605522,0.531009,0.697029,0.774788,0.38297,0.570832,0.488686,-0.779436,WALKING
-0.213047,0.952263,-0.251757,0.881929,-0.257654,0.965704,-0.236963,0.870168,0.778196,0.660902,0.546192,0.806407,0.941225,0.544082,0.771061,0.49651,0.691786,0.318474,0.451177,0.492474,-0.770005,WALKING
-0.198842,0.947159,-0.264409,0.881929,-0.274236,0.95842,-0.237665,0.85684,0.597119,0.631504,0.488058,0.794814,0.923606,0.546985,0.613892,0.562489,0.741851,0.365758,0.502808,0.441238,-0.756089,WALKING
-0.198842,0.94365,-0.261634,0.875017,-0.270872,0.95842,-0.237665,0.847666,0.523485,0.57063,0.507145,0.784631,0.943659,0.530941,0.659231,0.648096,0.699638,0.287102,0.494932,0.395605,-0.757782,WALKING
0.14787,0.942148,-0.264207,0.888806,-0.274506,0.940454,-0.24338,0.843988,0.599801,0.722557,0.581446,0.838996,0.921223,0.717765,0.643064,0.671109,0.763363,0.513815,0.582726,0.515335,-0.755076,WALKING
