@relation 'activity_recognition_dataset_modifier-weka.filters.unsupervised.attribute.Remove-R1-3,5-6,8-9,11-16,18-41,43-53,55-265,267-268,270-271,273-274,276-281,283-302,304-310,312-314,316-381,383-389,391-503,506-508,510-559,561-562'

@attribute tBodyAcc-std()-X numeric
@attribute tBodyAcc-mad()-X numeric
@attribute tBodyAcc-max()-X numeric
@attribute tBodyAcc-energy()-X numeric
@attribute tGravityAcc-mean()-Y numeric
@attribute tGravityAcc-min()-Y numeric
@attribute fBodyAcc-mean()-X numeric
@attribute fBodyAcc-std()-X numeric
@attribute fBodyAcc-mad()-X numeric
@attribute fBodyAcc-max()-X numeric
@attribute fBodyAcc-energy()-X numeric
@attribute fBodyAcc-bandsEnergy()-A-18 numeric
@attribute fBodyAcc-bandsEnergy()-I-1_16 numeric
@attribute fBodyAcc-bandsEnergy()-M-1_24 numeric
@attribute fBodyAccJerk-bandsEnergy()-A-1_8 numeric
@attribute fBodyAccJerk-bandsEnergy()-I-1_16 numeric
@attribute fBodyAccMag-std() numeric
@attribute fBodyAccMag-mad() numeric
@attribute fBodyAccMag-energy() numeric
@attribute angle(Y-gravityMean) numeric
@attribute activity {STANDING,SITTING,LAYING,WALKING,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS}

@data
-0.999188,-0.999211,-0.943323,-0.999997,-0.154141,-0.126467,-0.99882,-0.99939,-0.998608,-0.999952,-0.999996,-0.999999,-0.999998,-0.999997,-0.999997,-0.999989,-0.998481,-0.997736,-0.999982,0.188812,STANDING
-0.988641,-0.988958,-0.925977,-0.999804,-0.292623,-0.319537,-0.98934,-0.988176,-0.990107,-0.986489,-0.999886,-0.999884,-0.999891,-0.99989,-0.999992,-0.999965,-0.836253,-0.883542,-0.98568,0.283159,STANDING
-0.996839,-0.997094,-0.941716,-0.999981,-0.263117,-0.24814,-0.995629,-0.99747,-0.996132,-0.998872,-0.999981,-0.999985,-0.999984,-0.999983,-0.999989,-0.999981,-0.986083,-0.985241,-0.999796,0.263119,STANDING
-0.996941,-0.99722,-0.941716,-0.999982,-0.265091,-0.235908,-0.996195,-0.997276,-0.996174,-0.998197,-0.999982,-0.999985,-0.999986,-0.999985,-0.999985,-0.999983,-0.990112,-0.987993,-0.999867,0.264324,STANDING
-0.997695,-0.998014,-0.942076,-0.999987,-0.264718,-0.235908,-0.996834,-0.998141,-0.997138,-0.999013,-0.999987,-0.999994,-0.999992,-0.99999,-0.999994,-0.999987,-0.992306,-0.990486,-0.999899,0.264033,STANDING
-0.997491,-0.997903,-0.94487,-0.999987,-0.263058,-0.234274,-0.996801,-0.997814,-0.997124,-0.997899,-0.999986,-0.999988,-0.999988,-0.999987,-0.999984,-0.999983,-0.997314,-0.99562,-0.99997,0.262886,STANDING
-0.997811,-0.998205,-0.945662,-0.999988,-0.26349,-0.233993,-0.997205,-0.998096,-0.997098,-0.999205,-0.999988,-0.999993,-0.999987,-0.999989,-0.999992,-0.999977,-0.997275,-0.997104,-0.999987,0.263169,STANDING
-0.997904,-0.998365,-0.941472,-0.999989,-0.263437,-0.233993,-0.997198,-0.998258,-0.997706,-0.998529,-0.999989,-0.999995,-0.999989,-0.99999,-0.999997,-0.999978,-0.998193,-0.997248,-0.999977,0.263183,STANDING
-0.997763,-0.998291,-0.941472,-0.999988,-0.261896,-0.233513,-0.996575,-0.998444,-0.997191,-0.999552,-0.999988,-0.999992,-0.999991,-0.99999,-0.999996,-0.999989,-0.997817,-0.996403,-0.999971,0.26217,STANDING
-0.997862,-0.998333,-0.944567,-0.999988,-0.262459,-0.234932,-0.997546,-0.997968,-0.997382,-0.99851,-0.999988,-0.99999,-0.999991,-0.99999,-0.999991,-0.999987,-0.998191,-0.996713,-0.999969,0.26255,STANDING
-0.998389,-0.998869,-0.943675,-0.999992,-0.265007,-0.235806,-0.997503,-0.9989,-0.998511,-0.998943,-0.999992,-0.999992,-0.999993,-0.999993,-0.999992,-0.999989,-0.997556,-0.996352,-0.999958,0.264256,STANDING
-0.998534,-0.998674,-0.942559,-0.99999,-0.265043,-0.235806,-0.998657,-0.998403,-0.9985,-0.998587,-0.999993,-0.999996,-0.999993,-0.999993,-0.999998,-0.999985,-0.995371,-0.994395,-0.999936,0.264224,STANDING
-0.99806,-0.998059,-0.942559,-0.99999,-0.261943,-0.235405,-0.997472,-0.998344,-0.997112,-0.999309,-0.99999,-0.999995,-0.999993,-0.99999,-0.999997,-0.999986,-0.995005,-0.993337,-0.999927,0.26209,STANDING
-0.999255,-0.999407,-0.94289,-0.999996,-0.260499,-0.230649,-0.998982,-0.999395,-0.99937,-0.998716,-0.999996,-0.999998,-1,-0.999998,-0.999996,-0.999999,-0.998641,-0.998252,-0.999974,0.261103,STANDING
-0.9043,-0.9011,-0.931896,-0.991474,0.042479,-0.197543,-0.921288,-0.898029,-0.921148,-0.891528,-0.995025,-0.99354,-0.994682,-0.994931,-0.999969,-0.99996,-0.199416,-0.358642,-0.664722,0.054216,SITTING
-0.982915,-0.984418,-0.931896,-0.999763,0.160675,0.12129,-0.986124,-0.981476,-0.986377,-0.979401,-0.99978,-0.999725,-0.999771,-0.999782,-0.999977,-0.999971,-0.930963,-0.950624,-0.997014,-0.027045,SITTING
-0.992818,-0.993092,-0.935389,-0.999943,0.151877,0.167701,-0.992937,-0.992624,-0.993662,-0.991669,-0.999943,-0.999936,-0.999943,-0.999946,-0.999995,-0.999986,-0.971214,-0.971453,-0.99929,-0.021567,SITTING
-0.814708,-0.878682,-0.737152,-0.981526,0.150702,0.167701,-0.807645,-0.817409,-0.795228,-0.870396,-0.982103,-0.979565,-0.981703,-0.981976,-0.9966,-0.995057,-0.533869,-0.569719,-0.875235,-0.020756,SITTING
-0.758393,-0.774118,-0.737152,-0.949449,0.195595,0.174435,-0.813356,-0.739547,-0.771365,-0.752931,-0.969893,-0.961813,-0.968245,-0.969097,-0.995008,-0.993974,-0.488148,-0.566214,-0.866369,-0.053539,SITTING
-0.808638,-0.806213,-0.916064,-0.966993,0.314068,0.198689,-0.850109,-0.794201,-0.861354,-0.772293,-0.980938,-0.975052,-0.979665,-0.980678,-0.998886,-0.999249,-0.478114,-0.659078,-0.86323,-0.142549,SITTING
-0.956503,-0.962006,-0.916064,-0.998735,0.409503,0.346235,-0.967779,-0.952359,-0.96572,-0.948456,-0.998869,-0.998485,-0.998773,-0.998852,-0.999939,-0.999931,-0.902626,-0.901327,-0.993312,-0.213339,SITTING
-0.977374,-0.977631,-0.916825,-0.999613,0.419867,0.433709,-0.983393,-0.974984,-0.982771,-0.972265,-0.999647,-0.999538,-0.999621,-0.999643,-0.999995,-0.999994,-0.956009,-0.957237,-0.998626,-0.221117,SITTING
-0.993856,-0.993878,-0.941617,-0.999946,0.415037,0.433709,-0.995976,-0.992821,-0.995078,-0.990987,-0.999955,-0.999938,-0.99995,-0.999954,-0.999992,-0.999989,-0.994283,-0.994719,-0.999944,-0.217729,SITTING
-0.996076,-0.996287,-0.941617,-0.999975,0.416489,0.435089,-0.996127,-0.995941,-0.996371,-0.994747,-0.999975,-0.999971,-0.999976,-0.999976,-0.999991,-0.999993,-0.999144,-0.998799,-0.99999,-0.218935,SITTING
-0.995577,-0.996238,-0.938312,-0.999971,0.416857,0.43716,-0.995298,-0.995609,-0.995245,-0.994847,-0.999971,-0.999971,-0.999974,-0.999972,-0.999989,-0.999986,-0.994733,-0.992946,-0.999945,-0.219167,SITTING
-0.979954,-0.980179,-0.939637,-0.999385,0.113591,0.114673,-0.983333,-0.978453,-0.982859,-0.975671,-0.999713,-0.999657,-0.999715,-0.999715,-0.999956,-0.999941,-0.953627,-0.943191,-0.998002,0.006141,SITTING
-0.990783,-0.992498,-0.939637,-0.999914,0.125581,0.117503,-0.989815,-0.991108,-0.989181,-0.99314,-0.999918,-0.999921,-0.999926,-0.99992,-0.999989,-0.999966,-0.944884,-0.958528,-0.998112,-0.003049,SITTING
-0.995468,-0.995978,-0.939789,-0.999968,0.140067,0.15705,-0.994435,-0.995923,-0.994653,-0.997176,-0.99997,-0.999981,-0.999974,-0.999971,-0.999979,-0.999965,-0.995387,-0.993994,-0.999948,-0.013061,SITTING
-0.99439,-0.99505,-0.939789,-0.99996,0.139236,0.160942,-0.992634,-0.995252,-0.992876,-0.997349,-0.99996,-0.99997,-0.999963,-0.999963,-0.999983,-0.999957,-0.994098,-0.99251,-0.999919,-0.012406,SITTING
-0.995506,-0.995706,-0.94012,-0.999968,0.138434,0.160942,-0.994199,-0.996131,-0.995315,-0.996854,-0.99997,-0.999974,-0.999973,-0.999975,-0.999973,-0.999969,-0.992714,-0.991857,-0.999901,-0.011867,SITTING
-0.995019,-0.994818,-0.941715,-0.999966,0.142223,0.161142,-0.994983,-0.994916,-0.995218,-0.994597,-0.999966,-0.999958,-0.999966,-0.999968,-0.999978,-0.999984,-0.993266,-0.991186,-0.999908,-0.014516,SITTING
-0.994745,-0.994419,-0.941715,-0.999964,0.142585,0.164245,-0.994044,-0.99499,-0.995093,-0.993742,-0.999963,-0.999964,-0.999965,-0.999967,-0.999988,-0.999974,-0.993492,-0.991459,-0.999921,-0.014784,SITTING
-0.995876,-0.996141,-0.942012,-0.999971,0.14163,0.164245,-0.994611,-0.996493,-0.995062,-0.99797,-0.999974,-0.999988,-0.999981,-0.999979,-0.999991,-0.999975,-0.996814,-0.996027,-0.999973,-0.014168,SITTING
-0.996646,-0.99695,-0.943243,-0.99998,0.144858,0.165041,-0.995583,-0.997169,-0.995793,-0.998114,-0.99998,-0.99999,-0.999985,-0.999986,-0.999989,-0.999975,-0.998388,-0.998107,-0.999981,-0.016451,SITTING
-0.996428,-0.996738,-0.938573,-0.999979,0.145603,0.168441,-0.994923,-0.997236,-0.995794,-0.997892,-0.999978,-0.999985,-0.999985,-0.999984,-0.99999,-0.999978,-0.99716,-0.99569,-0.999959,-0.016966,SITTING
-0.995885,-0.996543,-0.938573,-0.999972,0.145727,0.168441,-0.994753,-0.996417,-0.994784,-0.99823,-0.999974,-0.999981,-0.999981,-0.999976,-0.999992,-0.999977,-0.994787,-0.993548,-0.999935,-0.017046,SITTING
-0.995849,-0.996101,-0.940684,-0.999973,0.147586,0.16911,-0.995278,-0.996045,-0.995658,-0.995897,-0.999973,-0.999978,-0.999979,-0.999975,-0.999991,-0.999983,-0.993656,-0.994003,-0.999935,-0.01836,SITTING
-0.99573,-0.996104,-0.940684,-0.999973,0.145677,0.16738,-0.992965,-0.997433,-0.996202,-0.998033,-0.999972,-0.999985,-0.99998,-0.99998,-0.999991,-0.999972,-0.994735,-0.993292,-0.999942,-0.017047,SITTING
-0.914811,-0.917696,-0.785104,-0.992837,0.774659,0.786501,-0.926314,-0.910375,-0.922015,-0.906775,-0.996017,-0.995483,-0.995811,-0.996024,-0.999766,-0.998592,-0.836196,-0.847401,-0.984265,-0.553351,LAYING
-0.984883,-0.987985,-0.920051,-0.999821,0.773905,0.787124,-0.986874,-0.983894,-0.986119,-0.982523,-0.999821,-0.999772,-0.999808,-0.999819,-0.999978,-0.999952,-0.978484,-0.979961,-0.999551,-0.550364,LAYING
-0.994195,-0.994901,-0.940164,-0.999958,0.771712,0.786652,-0.993615,-0.994363,-0.995043,-0.99492,-0.999958,-0.999964,-0.999957,-0.99996,-0.999991,-0.999966,-0.996777,-0.996328,-0.999953,-0.546725,LAYING
-0.996135,-0.996393,-0.940773,-0.999976,0.771097,0.786197,-0.99575,-0.996235,-0.996522,-0.995812,-0.999976,-0.999991,-0.999977,-0.999978,-0.999996,-0.99996,-0.998449,-0.999069,-0.999986,-0.546477,LAYING
-0.996775,-0.997167,-0.942673,-0.999981,0.771037,0.786197,-0.996511,-0.996822,-0.99591,-0.997771,-0.999981,-0.999991,-0.999982,-0.999983,-0.999991,-0.999969,-0.998283,-0.997752,-0.999981,-0.546712,LAYING
-0.994928,-0.995586,-0.938974,-0.999966,0.771291,0.786386,-0.994702,-0.994923,-0.994763,-0.994528,-0.999965,-0.999993,-0.999968,-0.999968,-0.999993,-0.999951,-0.996509,-0.995009,-0.999949,-0.546859,LAYING
-0.994425,-0.994939,-0.938974,-0.999961,0.771351,0.786554,-0.994037,-0.994497,-0.994476,-0.993533,-0.99996,-0.99999,-0.999964,-0.999963,-0.999991,-0.999945,-0.996299,-0.995165,-0.999956,-0.546717,LAYING
-0.996475,-0.997295,-0.939453,-0.999978,0.770749,0.785042,-0.995691,-0.996816,-0.996068,-0.997496,-0.999978,-0.999992,-0.99998,-0.99998,-0.999997,-0.999964,-0.995335,-0.992799,-0.999932,-0.54625,LAYING
-0.996287,-0.997255,-0.938449,-0.999974,0.769923,0.785036,-0.995294,-0.996749,-0.995575,-0.997949,-0.999977,-0.999991,-0.999978,-0.999979,-0.999996,-0.999962,-0.994352,-0.991787,-0.999919,-0.54555,LAYING
-0.994788,-0.99589,-0.933459,-0.999964,0.769296,0.78402,-0.993074,-0.995641,-0.993998,-0.9976,-0.999964,-0.999979,-0.999968,-0.999967,-0.999979,-0.999948,-0.997452,-0.995065,-0.999948,-0.54468,LAYING
-0.995511,-0.99615,-0.933459,-0.999971,0.769152,0.78402,-0.994804,-0.995777,-0.995633,-0.9953,-0.99997,-0.999993,-0.999974,-0.999973,-0.999991,-0.999949,-0.997297,-0.99666,-0.999965,-0.544198,LAYING
-0.996143,-0.996375,-0.939881,-0.999976,0.769628,0.78419,-0.99518,-0.996581,-0.995719,-0.997466,-0.999976,-0.999998,-0.999981,-0.999978,-0.999998,-0.999959,-0.998652,-0.998044,-0.999985,-0.544442,LAYING
-0.995237,-0.995515,-0.939221,-0.999968,0.769467,0.784682,-0.993546,-0.996098,-0.994981,-0.996654,-0.999968,-0.999992,-0.999978,-0.999972,-0.999991,-0.999958,-0.998639,-0.998239,-0.999987,-0.543991,LAYING
-0.661294,-0.693948,-0.891284,-0.928115,0.758454,0.645142,-0.668604,-0.658253,-0.680573,-0.667953,-0.941412,-0.926066,-0.937817,-0.941127,-0.997752,-0.998136,-0.475762,-0.462477,-0.825966,-0.536104,LAYING
-0.958596,-0.956855,-0.891284,-0.99818,0.768669,0.767983,-0.974987,-0.953117,-0.969611,-0.946879,-0.998967,-0.998678,-0.998881,-0.998942,-0.999947,-0.999838,-0.9148,-0.945523,-0.996184,-0.544092,LAYING
-0.633135,-0.623804,-0.925208,-0.8919,0.755542,0.742818,-0.74176,-0.597924,-0.695462,-0.589863,-0.931409,-0.909014,-0.924864,-0.929691,-0.993295,-0.992986,0.085679,-0.225444,-0.428831,-0.534122,LAYING
-0.637325,-0.643642,-0.878149,-0.87938,0.702622,0.633282,-0.782548,-0.593623,-0.725813,-0.553752,-0.932951,-0.910059,-0.926198,-0.930903,-0.991887,-0.992605,-0.11108,-0.323051,-0.613671,-0.488443,LAYING
-0.803903,-0.82689,-0.830561,-0.979089,0.655186,0.633282,-0.826828,-0.795288,-0.832701,-0.800841,-0.980003,-0.974103,-0.978613,-0.979731,-0.999497,-0.999585,-0.803752,-0.800477,-0.973348,-0.431271,LAYING
-0.755994,-0.767537,-0.717081,-0.969244,0.697097,0.638743,-0.77764,-0.747738,-0.759086,-0.788211,-0.969301,-0.961394,-0.968433,-0.969572,-0.995619,-0.996973,-0.736902,-0.702488,-0.952419,-0.46594,LAYING
-0.599392,-0.664108,-0.717081,-0.836438,0.716437,0.571697,-0.621679,-0.590777,-0.629754,-0.568169,-0.918374,-0.906706,-0.917862,-0.918607,-0.980102,-0.969371,0.280697,0.114472,-0.140187,-0.496132,LAYING
-0.59641,-0.631819,-0.866296,-0.855449,0.525105,0.153317,-0.608389,-0.591638,-0.594792,-0.593197,-0.917167,-0.90642,-0.91533,-0.916347,-0.986607,-0.970557,-0.10278,-0.043058,-0.53501,-0.336641,LAYING
-0.919666,-0.937986,-0.866296,-0.996367,0.160141,-0.079832,-0.906118,-0.925608,-0.901767,-0.949683,-0.996438,-0.997253,-0.996826,-0.996403,-0.997772,-0.997215,-0.026812,-0.291369,-0.546935,-0.03402,LAYING
-0.977395,-0.978438,-0.920486,-0.999649,-0.058996,-0.080349,-0.975908,-0.977881,-0.975697,-0.979413,-0.999647,-0.999643,-0.999692,-0.999657,-0.999937,-0.999891,-0.771569,-0.771489,-0.966505,0.125019,LAYING
-0.985693,-0.987394,-0.929943,-0.999821,-0.06842,-0.080349,-0.981763,-0.987561,-0.983992,-0.989113,-0.999836,-0.999904,-0.999896,-0.999848,-0.999959,-0.999911,-0.911274,-0.931446,-0.995413,0.131802,LAYING
-0.995495,-0.995802,-0.937754,-0.999959,-0.045998,-0.032168,-0.993568,-0.996533,-0.994843,-0.998091,-0.99997,-0.999979,-0.999978,-0.999974,-0.999979,-0.999969,-0.989491,-0.988114,-0.999851,0.11596,LAYING
-0.99458,-0.995237,-0.937754,-0.999955,-0.040043,-0.017831,-0.992307,-0.995797,-0.994629,-0.996564,-0.999962,-0.99997,-0.99997,-0.999966,-0.999967,-0.999953,-0.991511,-0.992075,-0.999889,0.111748,LAYING
-0.993125,-0.993589,-0.93651,-0.999943,-0.034589,-0.01246,-0.991416,-0.993909,-0.992197,-0.995727,-0.999947,-0.999977,-0.999961,-0.999956,-0.999974,-0.999938,-0.995671,-0.994867,-0.999939,0.107918,LAYING
-0.32828,-0.404875,-0.154731,-0.773065,-0.245941,-0.248151,-0.260905,-0.356707,-0.185771,-0.597352,-0.772482,-0.84375,-0.789833,-0.771637,-0.851016,-0.735813,-0.399583,-0.237471,-0.704874,0.252432,WALKING
-0.229207,-0.276764,-0.154731,-0.701589,-0.252035,-0.243722,-0.151115,-0.262197,-0.093834,-0.470685,-0.700912,-0.755835,-0.714849,-0.700149,-0.803647,-0.672864,-0.42303,-0.199371,-0.685753,0.256919,WALKING
-0.275158,-0.341341,-0.175559,-0.735901,-0.264278,-0.244126,-0.230407,-0.293522,-0.187269,-0.424168,-0.735328,-0.755803,-0.744997,-0.738791,-0.814883,-0.765346,-0.436858,-0.24625,-0.71966,0.264452,WALKING
-0.229924,-0.282882,-0.152773,-0.701364,-0.259838,-0.244126,-0.151323,-0.263126,-0.139295,-0.415991,-0.701454,-0.733221,-0.720112,-0.706884,-0.776875,-0.729589,-0.376215,-0.187848,-0.671153,0.26085,WALKING
-0.226577,-0.239526,-0.152773,-0.699656,-0.2571,-0.230658,-0.225804,-0.226802,-0.148297,-0.336935,-0.698873,-0.704614,-0.707533,-0.699398,-0.766544,-0.758163,-0.38786,-0.227376,-0.683914,0.259629,WALKING
-0.224537,-0.250624,-0.073476,-0.69798,-0.254778,-0.228546,-0.290429,-0.199971,-0.21628,-0.324929,-0.697304,-0.657362,-0.687304,-0.696345,-0.683601,-0.758281,-0.378172,-0.241951,-0.704713,0.258258,WALKING
-0.233956,-0.282959,-0.073476,-0.704946,-0.24483,-0.226683,-0.163562,-0.263477,-0.125324,-0.49628,-0.704559,-0.724436,-0.726144,-0.710839,-0.716293,-0.730588,-0.406102,-0.207919,-0.701963,0.251218,WALKING
-0.247087,-0.304683,-0.209291,-0.714917,-0.236905,-0.213715,-0.187773,-0.271724,-0.068655,-0.608865,-0.714547,-0.796629,-0.767797,-0.721112,-0.824932,-0.735461,-0.427571,-0.236588,-0.6994,0.246085,WALKING
-0.353099,-0.395274,-0.290397,-0.789177,-0.262056,-0.265328,-0.274907,-0.386571,-0.260885,-0.560529,-0.788874,-0.836989,-0.792105,-0.789883,-0.864664,-0.775542,-0.463755,-0.26177,-0.764748,0.262951,WALKING
-0.262942,-0.30989,-0.068583,-0.727085,-0.255801,-0.231067,-0.236245,-0.273649,-0.193723,-0.510113,-0.726369,-0.749158,-0.73632,-0.726603,-0.788206,-0.747629,-0.408346,-0.211691,-0.708083,0.25876,WALKING
-0.260705,-0.316776,-0.068583,-0.724384,-0.254668,-0.226849,-0.205111,-0.283724,-0.175322,-0.424378,-0.724717,-0.739394,-0.73459,-0.729378,-0.794406,-0.734019,-0.395485,-0.281038,-0.720727,0.258193,WALKING
-0.23903,-0.282546,-0.091285,-0.709023,-0.255759,-0.227029,-0.170748,-0.26759,-0.206523,-0.327808,-0.708422,-0.739167,-0.72817,-0.714189,-0.781958,-0.70475,-0.432465,-0.263516,-0.715988,0.259326,WALKING
-0.200974,-0.243147,-0.091285,-0.679554,-0.2584,-0.235715,-0.197113,-0.202421,-0.142963,-0.290602,-0.678718,-0.697248,-0.685707,-0.679032,-0.749847,-0.714876,-0.372146,-0.212,-0.685304,0.261529,WALKING
-0.168656,-0.205134,-0.000818,-0.653118,-0.266212,-0.24326,-0.236663,-0.143265,-0.149975,-0.258561,-0.652368,-0.620914,-0.64258,-0.648713,-0.625549,-0.674658,-0.316897,-0.106592,-0.627778,0.266729,WALKING
-0.208425,-0.245604,-0.000818,-0.684291,-0.265399,-0.24326,-0.213767,-0.206271,-0.158018,-0.400834,-0.684664,-0.694707,-0.692666,-0.685575,-0.710997,-0.697827,-0.34641,-0.140252,-0.638443,0.264995,WALKING
-0.220544,-0.27237,-0.074992,-0.694364,-0.258512,-0.239731,-0.140082,-0.254566,-0.08133,-0.436948,-0.69418,-0.739636,-0.733788,-0.696244,-0.768196,-0.70547,-0.404517,-0.261495,-0.694747,0.259416,WALKING
-0.205516,-0.26989,-0.074992,-0.682369,-0.254213,-0.229476,-0.160442,-0.223925,-0.119781,-0.391006,-0.682339,-0.758449,-0.735004,-0.681043,-0.787537,-0.723271,-0.388316,-0.275166,-0.681374,0.256901,WALKING
-0.248645,-0.306979,-0.114953,-0.71596,-0.251478,-0.227074,-0.145907,-0.293129,-0.143897,-0.53521,-0.715705,-0.789624,-0.757826,-0.718151,-0.819905,-0.700411,-0.388956,-0.198573,-0.681559,0.256167,WALKING
-0.303125,-0.356618,-0.178067,-0.754839,-0.244003,-0.222825,-0.217238,-0.339974,-0.162102,-0.647357,-0.755234,-0.838072,-0.805571,-0.754101,-0.870467,-0.76538,-0.4183,-0.323156,-0.706428,0.251406,WALKING
-0.363238,-0.425625,-0.278328,-0.795897,-0.234382,-0.21639,-0.199532,-0.440571,-0.289729,-0.638447,-0.795357,-0.87063,-0.840832,-0.802048,-0.843167,-0.82171,-0.42226,-0.259353,-0.726107,0.244471,WALKING
-0.183444,-0.24908,0.032522,-0.665411,-0.260003,-0.234041,-0.139067,-0.201563,-0.050728,-0.348852,-0.664556,-0.721764,-0.674,-0.665234,-0.752631,-0.663224,-0.451302,-0.223499,-0.677786,0.260565,WALKING
-0.111717,-0.158887,0.032522,-0.603769,-0.263563,-0.241615,-0.042235,-0.140573,-0.053579,-0.283745,-0.603357,-0.632891,-0.612524,-0.60778,-0.624009,-0.590988,-0.404324,-0.229031,-0.66148,0.263321,WALKING
-0.13937,-0.172151,0.022737,-0.628492,-0.268419,-0.242784,-0.101608,-0.154684,-0.018982,-0.315191,-0.627576,-0.672526,-0.632046,-0.626923,-0.68846,-0.603753,-0.420866,-0.262398,-0.706981,0.268019,WALKING
-0.171239,-0.21756,0.022737,-0.655342,-0.269365,-0.242784,-0.101387,-0.200369,-0.143288,-0.259688,-0.65449,-0.681533,-0.681447,-0.654402,-0.720433,-0.693476,-0.367577,-0.200028,-0.645168,0.269151,WALKING
