@relation 'activity_recognition_dataset_modifier-weka.filters.unsupervised.attribute.Remove-R1-4,6-7,9-15,17-102,106-188,190-234,236-266,268-272,274-280,282-287,291-366,370-510,512-523,525-549,551-562'

@attribute tBodyAcc-std()-Y numeric
@attribute tBodyAcc-mad()-Y numeric
@attribute tBodyAcc-sma() numeric
@attribute tBodyAccJerk-entropy()-X numeric
@attribute tBodyAccJerk-entropy()-Y numeric
@attribute tBodyAccJerk-entropy()-Z numeric
@attribute tBodyGyroJerk-arCoeff()-X4 numeric
@attribute tBodyAccJerkMag-entropy() numeric
@attribute fBodyAcc-mean()-Y numeric
@attribute fBodyAcc-mad()-Y numeric
@attribute fBodyAcc-sma() numeric
@attribute fBodyAcc-entropy()-X numeric
@attribute fBodyAcc-entropy()-Y numeric
@attribute fBodyAcc-entropy()-Z numeric
@attribute fBodyAccJerk-entropy()-X numeric
@attribute fBodyAccJerk-entropy()-Y numeric
@attribute fBodyAccJerk-entropy()-Z numeric
@attribute fBodyAccMag-entropy() numeric
@attribute fBodyBodyAccJerkMag-entropy() numeric
@attribute fBodyBodyGyroJerkMag-entropy() numeric
@attribute activity {STANDING,SITTING,LAYING,WALKING,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS}

@data
-0.838672,-0.844821,-0.911972,-0.664456,-0.80344,-0.885672,0.475954,-0.772511,-0.879028,-0.881253,-0.943093,-0.687597,-0.439199,-0.813513,-1,-1,-1,-0.436499,-1,-0.871306,SITTING
-0.963841,-0.959382,-0.970097,-0.875096,-0.84773,-0.885554,0.424862,-0.865724,-0.97465,-0.976761,-0.978415,-0.854006,-0.889911,-0.754967,-1,-1,-1,-0.752056,-1,-1,SITTING
-0.993179,-0.992131,-0.994365,-0.915776,-0.836903,-0.848686,0.366136,-0.889278,-0.993408,-0.995206,-0.997368,-0.946357,-0.94487,-0.903572,-1,-1,-1,-0.946182,-1,-1,SITTING
-0.995782,-0.99637,-0.998606,-0.875096,-0.816372,-0.832218,0.252993,-0.909358,-0.992726,-0.995939,-0.998349,-0.946357,-1,-0.94419,-1,-1,-1,-1,-1,-1,SITTING
-0.994544,-0.994201,-0.997549,-0.817601,-0.84773,-0.848686,0.397692,-0.920737,-0.991691,-0.993862,-0.996934,-0.946357,-1,-0.94419,-1,-1,-1,-1,-1,-1,SITTING
-0.866193,-0.882316,-0.929804,-0.648813,-0.522598,-0.704934,0.07436,-0.63018,-0.899147,-0.902752,-0.955986,-0.820753,-0.506018,-0.782779,-1,-1,-1,-0.572734,-0.940965,-0.955696,SITTING
-0.935065,-0.928563,-0.972195,-0.733366,-0.849017,-0.746139,-0.161233,-0.830802,-0.954093,-0.951569,-0.980967,-0.907316,-0.757953,-0.868799,-1,-1,-1,-0.790533,-1,-1,SITTING
-0.98433,-0.982309,-0.992114,-0.769828,-0.882691,-0.741217,-0.139156,-0.883246,-0.984841,-0.989386,-0.992326,-1,-0.94487,-0.868799,-1,-1,-1,-1,-1,-1,SITTING
-0.984563,-0.984522,-0.992598,-0.787925,-0.816372,-0.757001,0.052974,-0.848659,-0.985764,-0.988463,-0.992192,-1,-0.94487,-0.903572,-1,-1,-1,-1,-1,-1,SITTING
-0.981767,-0.980919,-0.990729,-0.817601,-0.797235,-0.76535,0.056488,-0.821896,-0.98766,-0.987872,-0.99398,-1,-0.94487,-0.94419,-1,-1,-1,-0.946182,-1,-1,SITTING
-0.970446,-0.96515,-0.986972,-0.839274,-0.826456,-0.768706,0.016356,-0.838706,-0.981102,-0.982553,-0.99164,-0.946357,-0.889911,-0.837884,-1,-1,-1,-1,-1,-1,SITTING
-0.979496,-0.977349,-0.989036,-0.807351,-0.849017,-0.813859,0.218697,-0.890448,-0.985429,-0.986397,-0.992483,-0.946357,-0.94487,-0.903572,-1,-1,-1,-1,-1,-1,SITTING
-0.989111,-0.988049,-0.992144,-0.75742,-0.849017,-0.8582,0.214663,-0.907576,-0.98909,-0.991766,-0.995546,-1,-0.904748,-0.868799,-1,-1,-1,-1,-1,-1,SITTING
-0.982975,-0.981852,-0.993628,-0.748262,-0.788157,-0.830646,0.056111,-0.946284,-0.986762,-0.988607,-0.99512,-1,-0.94487,-0.94419,-1,-1,-1,-1,-1,-1,SITTING
-0.984673,-0.983151,-0.993017,-0.75742,-0.770924,-0.806808,0.052901,-0.927732,-0.987501,-0.988369,-0.994025,-1,-0.94487,-0.903572,-1,-1,-1,-1,-1,-1,SITTING
-0.988013,-0.986734,-0.991802,-0.748262,-0.836903,-0.854116,0.300805,-0.813468,-0.99135,-0.992121,-0.994883,-1,-0.94487,-0.868799,-1,-1,-1,-1,-1,-1,SITTING
-0.980701,-0.979569,-0.991304,-0.797465,-0.836903,-0.876096,0.202214,-0.845833,-0.988629,-0.987918,-0.995614,-0.946357,-0.94487,-0.94419,-1,-1,-1,-0.946182,-1,-1,SITTING
-0.978967,-0.976663,-0.990811,-0.828235,-0.806636,-0.813859,0.185128,-0.892918,-0.984241,-0.986018,-0.993165,-1,-0.889911,-0.94419,-1,-1,-1,-1,-1,-1,SITTING
-0.895231,-0.924624,-0.904895,-0.501587,-0.433234,-0.543131,-0.221106,-0.424745,-0.886948,-0.89009,-0.906759,-0.430487,-0.316077,-0.542561,-0.646947,-0.52131,-0.942216,-0.369281,-0.548877,-0.46849,LAYING
-0.991118,-0.990362,-0.986604,-0.729757,-0.811555,-0.785993,0.231001,-0.816502,-0.989008,-0.990331,-0.987468,-0.820753,-0.94487,-0.809888,-1,-1,-1,-0.873482,-1,-1,LAYING
-0.996372,-0.99636,-0.997547,-0.787925,-0.83698,-0.797869,0.397454,-0.829532,-0.994259,-0.996283,-0.996523,-0.907316,-1,-0.94419,-1,-1,-1,-1,-1,-1,LAYING
-0.995812,-0.995474,-0.998676,-0.817601,-0.858956,-0.885672,0.157322,-0.8608,-0.993453,-0.995541,-0.998068,-0.946357,-1,-1,-1,-1,-1,-1,-1,-1,LAYING
-0.997256,-0.997108,-0.998741,-0.817601,-0.836903,-0.830646,0.09928,-0.871967,-0.995061,-0.996327,-0.998093,-1,-1,-0.868799,-1,-1,-1,-1,-1,-1,LAYING
-0.998359,-0.998077,-0.997292,-0.797465,-0.825386,-0.750798,0.286992,-0.82315,-0.995667,-0.997615,-0.99628,-0.946357,-1,-0.903572,-1,-1,-1,-1,-1,-1,LAYING
-0.994873,-0.993994,-0.996637,-0.769828,-0.849017,-0.8221,0.487479,-0.815909,-0.992377,-0.994293,-0.995532,-0.946357,-1,-0.94419,-1,-1,-1,-1,-1,-1,LAYING
-0.994069,-0.994338,-0.997102,-0.807351,-0.84773,-0.8221,0.394992,-0.846939,-0.992596,-0.992582,-0.996002,-1,-1,-0.903572,-1,-1,-1,-1,-1,-1,LAYING
-0.992194,-0.992927,-0.995754,-0.817601,-0.748236,-0.805914,0.245817,-0.879011,-0.989747,-0.992404,-0.994603,-1,-0.94487,-0.868799,-1,-1,-1,-1,-1,-1,LAYING
-0.991031,-0.990625,-0.995338,-0.753629,-0.721327,-0.790152,0.365763,-0.916208,-0.988797,-0.99256,-0.993617,-1,-0.94487,-0.94419,-1,-1,-1,-1,-1,-1,LAYING
-0.995548,-0.995344,-0.997112,-0.708021,-0.858956,-0.793959,0.453755,-0.899422,-0.993804,-0.995824,-0.996073,-0.946357,-1,-0.94419,-1,-1,-1,-1,-1,-1,LAYING
-0.995969,-0.995646,-0.997367,-0.752955,-0.858956,-0.774686,0.442197,-0.908344,-0.993882,-0.995375,-0.99667,-1,-1,-0.94419,-1,-1,-1,-1,-1,-1,LAYING
-0.99581,-0.995338,-0.996767,-0.714237,-0.806636,-0.78523,0.350558,-0.859539,-0.993989,-0.995568,-0.996088,-1,-1,-0.94419,-1,-1,-1,-1,-1,-1,LAYING
-0.713353,-0.706558,-0.716354,-0.048739,-0.263092,-0.370005,-0.658633,-0.09801,-0.789638,-0.794863,-0.679623,-0.06293,-0.202969,-0.022198,-0.468573,-0.359576,-0.472576,-0.018083,-0.366175,-0.400606,LAYING
-0.908056,-0.898494,-0.943012,-0.574383,-0.691235,-0.598232,-0.116286,-0.694904,-0.954102,-0.943045,-0.968706,-0.791213,-0.761353,-0.868799,-1,-1,-0.942216,-0.790533,-0.898,-0.871306,LAYING
-0.189775,-0.199675,-0.467347,-0.232701,0.040662,-0.142788,0.391326,-0.024994,-0.370474,-0.190023,-0.523107,-0.004436,0.241522,0.13377,-0.361315,0.044567,-0.272705,0.172079,-0.222196,0.145927,LAYING
-0.127692,-0.138551,-0.301045,0.037543,0.288804,-0.097064,0.367039,0.138279,-0.353028,-0.155041,-0.552378,-0.029005,0.224944,0.015443,-0.301726,0.106158,-0.188981,0.131318,-0.155425,0.144303,LAYING
-0.741742,-0.745656,-0.64041,-0.228859,-0.104689,-0.464084,0.007023,-0.3275,-0.804548,-0.782908,-0.758933,-0.104616,-0.241013,-0.055649,-0.75852,-0.574643,-0.63765,-0.152384,-0.861217,-0.307914,LAYING
-0.642571,-0.709978,-0.596274,-0.03038,0.170213,0.00001,-0.070309,0.123539,-0.656415,-0.678854,-0.697529,0.010985,0.07544,0.02771,-0.239725,-0.283634,-0.32093,0.059523,-0.366175,0.17454,LAYING
0.532506,0.50226,0.009812,0.370658,0.450002,0.335632,0.383057,0.507161,0.2632,0.461107,-0.170926,0.366556,0.568263,0.279924,0.164769,0.540284,0.218722,0.364998,0.192543,0.349807,LAYING
0.024683,-0.068857,0.27477,0.355084,0.336771,0.056351,0.486983,0.478213,0.029029,-0.020489,-0.256629,0.369385,0.490648,0.275987,0.138138,0.537429,0.142599,0.440201,0.176795,0.327527,LAYING
0.075259,0.176796,-0.431069,-0.173932,0.007538,-0.454258,-0.032896,-0.135562,-0.387616,-0.244565,-0.675337,-0.246966,-0.15785,-0.026122,-0.43585,-0.457403,-0.503761,0.037779,-0.360213,-0.351062,LAYING
-0.5876,-0.607459,-0.876054,-0.527423,-0.302419,-0.642856,-0.129726,-0.632841,-0.684635,-0.687154,-0.888102,-0.791213,-0.121221,-0.813513,-0.943699,-0.93912,-1,-0.136049,-0.940965,-0.828734,LAYING
-0.895905,-0.887867,-0.957095,-0.550216,-0.704919,-0.705447,-0.125414,-0.693144,-0.932347,-0.929203,-0.969524,-0.817269,-0.634742,-0.868799,-0.902724,-1,-1,-0.643434,-0.940965,-0.879423,LAYING
-0.979828,-0.978673,-0.989544,-0.748262,-0.806636,-0.861319,0.218811,-0.894723,-0.983215,-0.983913,-0.992527,-1,-0.904748,-1,-1,-1,-1,-0.907014,-1,-1,LAYING
-0.986764,-0.986065,-0.990374,-0.73722,-0.84773,-0.749189,0.386833,-0.920318,-0.988173,-0.98758,-0.993563,-1,-0.904748,-1,-1,-1,-1,-0.907014,-1,-1,LAYING
-0.990001,-0.989888,-0.991161,-0.650052,-0.793046,-0.740841,0.20587,-0.87376,-0.988455,-0.989621,-0.993,-0.907316,-0.94487,-1,-1,-1,-1,-1,-1,-1,LAYING
-0.137153,-0.176791,-0.215441,0.594592,0.649671,0.590619,0.556334,0.768912,-0.122567,-0.079727,-0.13012,0.538905,0.52872,0.209771,0.665137,0.563729,0.131522,0.629059,0.484926,0.538309,WALKING
0.016506,0.009066,-0.122736,0.714579,0.674098,0.515351,0.248886,0.760292,-0.02905,0.024517,-0.020327,0.573236,0.587843,0.380952,0.52278,0.542132,0.294396,0.638492,0.438225,0.471655,WALKING
0.01308,-0.026013,-0.161978,0.713008,0.695782,0.562435,0.190604,0.688843,0.025427,0.007705,-0.084777,0.681561,0.459259,0.299089,0.667602,0.635262,0.19649,0.580957,0.441372,0.567043,WALKING
0.173911,0.144693,-0.063473,0.631484,0.682743,0.653239,0.356669,0.730801,0.195267,0.168833,0.026677,0.678355,0.533849,0.478458,0.678097,0.504683,0.363307,0.527338,0.408291,0.608005,WALKING
0.164288,0.140287,-0.02075,0.505548,0.807173,0.578778,0.29685,0.743025,0.110288,0.126644,0.001953,0.474393,0.664003,0.50877,0.554427,0.705691,0.401854,0.603808,0.510199,0.589812,WALKING
0.022313,-0.021988,-0.049867,0.682666,0.756442,0.60373,0.242126,0.67135,0.057822,-0.037498,-0.061873,0.566784,0.605276,0.34676,0.436604,0.527795,0.405999,0.43979,0.484554,0.570465,WALKING
0.034775,0.017454,-0.077454,0.753254,0.681836,0.539322,0.274933,0.695304,-0.041628,0.088527,-0.029185,0.640453,0.577674,0.461678,0.661391,0.589284,0.378261,0.575008,0.519691,0.454498,WALKING
0.055165,0.042704,-0.101385,0.667793,0.751962,0.557178,0.332279,0.739818,-0.004657,0.101353,-0.035433,0.383122,0.578896,0.387065,0.626559,0.610467,0.386674,0.606374,0.432251,0.579562,WALKING
-0.017382,-0.054389,-0.148596,0.724317,0.650908,0.416139,0.325325,0.690451,-0.06235,-0.076015,-0.114716,0.529731,0.530664,0.381789,0.571857,0.592953,0.272056,0.444937,0.336284,0.483536,WALKING
0.111278,0.089607,-0.106409,0.696156,0.692547,0.476358,0.500745,0.743207,0.108528,0.133994,-0.027541,0.490382,0.66881,0.441339,0.60064,0.70382,0.317506,0.592319,0.437961,0.487208,WALKING
0.027917,-0.038487,-0.133332,0.610158,0.62257,0.499154,0.3984,0.712785,-0.042937,0.034057,-0.079785,0.496729,0.557978,0.408643,0.621225,0.559974,0.342297,0.417445,0.415282,0.471268,WALKING
0.072865,0.008008,-0.104773,0.62471,0.608536,0.615163,0.2812,0.79093,0.018598,0.003435,-0.049013,0.564468,0.468213,0.426612,0.620916,0.625677,0.35541,0.458208,0.405373,0.546214,WALKING
0.132354,0.106021,-0.063314,0.613628,0.743371,0.663503,0.572019,0.75497,-0.05828,-0.020433,-0.051206,0.455155,0.542967,0.420189,0.621233,0.625004,0.385657,0.551413,0.348023,0.499624,WALKING
0.190336,0.101144,-0.001055,0.613336,0.681577,0.627309,0.526016,0.759089,0.09577,0.145021,0.005736,0.651331,0.501334,0.475234,0.652974,0.601331,0.377443,0.534301,0.509176,0.615428,WALKING
0.234791,0.135869,-0.022469,0.672973,0.724454,0.625011,0.473665,0.769102,0.188237,0.244609,0.023681,0.648355,0.652291,0.599668,0.647572,0.751009,0.432907,0.626714,0.381546,0.549232,WALKING
0.169817,0.127241,-0.053495,0.679426,0.743568,0.542365,0.5351,0.802178,0.181807,0.191017,0.034573,0.645902,0.681032,0.46803,0.686061,0.770604,0.278027,0.509637,0.49128,0.598271,WALKING
0.106006,0.074273,-0.05638,0.723719,0.689986,0.461687,0.390845,0.801898,0.117668,0.120737,0.008672,0.659149,0.436367,0.481744,0.694763,0.611697,0.414692,0.51677,0.41886,0.611023,WALKING
0.133229,0.113994,-0.068277,0.728613,0.628631,0.514817,0.349455,0.793441,0.116558,0.100917,0.025773,0.542806,0.600211,0.579994,0.698923,0.494163,0.380937,0.630097,0.555809,0.679701,WALKING
0.152607,0.106512,-0.095751,0.644158,0.601863,0.527598,0.443296,0.844136,0.159867,0.220461,-0.009106,0.53518,0.635467,0.498557,0.592288,0.628885,0.379416,0.581092,0.451024,0.68697,WALKING
0.036867,-0.055041,-0.202498,0.564846,0.563323,0.56798,0.247739,0.790974,0.022032,-0.035331,-0.053228,0.61763,0.546914,0.257812,0.522391,0.654324,0.295983,0.551142,0.397046,0.624583,WALKING
0.141076,0.110614,-0.044669,0.572987,0.616076,0.581547,0.470326,0.773285,0.119694,0.164882,0.026764,0.682114,0.668616,0.549714,0.65221,0.716938,0.345664,0.575113,0.462963,0.576044,WALKING
0.11113,0.074158,-0.011598,0.640883,0.668502,0.63422,0.469429,0.800416,0.019272,-0.017758,0.04241,0.708026,0.530838,0.348166,0.606432,0.642487,0.322071,0.569806,0.538787,0.469923,WALKING
0.038038,0.005201,-0.056921,0.671292,0.526428,0.524248,0.665657,0.762225,-0.037895,-0.159043,-0.036301,0.758172,0.418322,0.459637,0.690993,0.636793,0.244506,0.584123,0.405888,0.600599,WALKING
0.201236,0.131643,-0.049154,0.690133,0.565686,0.483565,0.672067,0.813661,0.141477,0.083767,0.049997,0.633093,0.701007,0.389578,0.727402,0.801465,0.384548,0.583053,0.533338,0.658872,WALKING
0.223488,0.125792,-0.070727,0.710829,0.632365,0.524218,0.454463,0.762225,0.263191,0.204624,0.02356,0.721752,0.757241,0.434018,0.730391,0.76013,0.409052,0.624965,0.614814,0.627257,WALKING
0.270055,0.203245,-0.043306,0.696527,0.705092,0.627497,0.36552,0.816589,0.282092,0.320006,0.036782,0.699829,0.768411,0.452174,0.640234,0.777382,0.301516,0.62157,0.541964,0.58477,WALKING
0.187335,0.122932,-0.045108,0.650664,0.784981,0.589413,0.31734,0.753552,0.234452,0.171979,0.060063,0.737023,0.638763,0.51443,0.671359,0.759249,0.332369,0.545398,0.453114,0.592106,WALKING
-0.004638,-0.062917,-0.07506,0.678847,0.617093,0.522111,0.230062,0.749603,0.003702,-0.045914,-0.054839,0.577206,0.540483,0.438612,0.632912,0.617976,0.268343,0.513669,0.443601,0.547809,WALKING
0.134322,0.084887,-0.054232,0.57249,0.631386,0.464428,0.555911,0.764691,0.152701,0.183386,0.019253,0.676217,0.500315,0.473562,0.68247,0.728523,0.354321,0.598606,0.434531,0.519791,WALKING
0.298558,0.265095,-0.042613,0.687908,0.722563,0.589953,0.481961,0.833954,0.250437,0.246894,0.053106,0.605522,0.531009,0.32184,0.697029,0.774788,0.38297,0.570832,0.488686,0.592331,WALKING
0.258438,0.215058,-0.060869,0.778196,0.660902,0.546192,0.130271,0.806407,0.289186,0.307158,0.009645,0.544082,0.771061,0.483183,0.49651,0.691786,0.318474,0.451177,0.492474,0.546077,WALKING
0.189681,0.171764,-0.089187,0.597119,0.631504,0.488058,0.250563,0.794814,0.10652,0.151787,-0.009186,0.546985,0.613892,0.507726,0.562489,0.741851,0.365758,0.502808,0.441238,0.516384,WALKING
0.127001,0.097291,-0.136891,0.523485,0.57063,0.507145,0.435714,0.784631,0.115924,0.159031,-0.045304,0.530941,0.659231,0.345816,0.648096,0.699638,0.287102,0.494932,0.395605,0.59589,WALKING
0.242834,0.177586,-0.023574,0.599801,0.722557,0.581446,0.539862,0.838996,0.187543,0.160034,0.079182,0.717765,0.643064,0.548367,0.671109,0.763363,0.513815,0.582726,0.515335,0.58733,WALKING
0.06704,0.037551,-0.112217,0.697168,0.726609,0.509243,0.342291,0.752115,0.096949,0.011096,-0.018409,0.786158,0.43721,0.466491,0.722821,0.62998,0.320127,0.49837,0.429277,0.463207,WALKING
0.041978,-0.001825,-0.118343,0.789362,0.52376,0.445643,0.064167,0.760183,0.001057,-0.064261,-0.055464,0.541043,0.491305,0.390541,0.608998,0.62737,0.342617,0.506372,0.382212,0.538696,WALKING
0.102938,0.065638,-0.093483,0.669182,0.601758,0.60165,0.384149,0.764691,-0.012331,0.097978,-0.062446,0.611606,0.627593,0.361782,0.6118,0.635179,0.286378,0.55041,0.309282,0.601927,WALKING
0.123136,0.072742,-0.068212,0.654772,0.595596,0.64753,0.35906,0.764059,0.128439,0.120819,0.012958,0.643384,0.542214,0.416947,0.61088,0.64007,0.330417,0.534971,0.423089,0.547447,WALKING
0.120917,0.067139,-0.05701,0.68041,0.489221,0.521373,0.30266,0.804572,0.028816,0.16532,-0.035859,0.60036,0.479016,0.462393,0.577149,0.631057,0.342815,0.497343,0.497439,0.652639,WALKING
0.057066,0.027469,-0.121884,0.623203,0.534979,0.582168,0.467991,0.76892,0.037535,0.035366,-0.040855,0.651936,0.470416,0.523052,0.679642,0.642682,0.302614,0.512475,0.548033,0.480834,WALKING
