@relation 'activity_recognition_dataset_modifier-weka.filters.unsupervised.attribute.Remove-R1-40,43-50,52,54-56,58-102,104-234,236-366,369-558,560-562'

@attribute tGravityAcc-mean()-X numeric
@attribute tGravityAcc-mean()-Y numeric
@attribute tGravityAcc-max()-Y numeric
@attribute tGravityAcc-min()-X numeric
@attribute tGravityAcc-energy()-X numeric
@attribute tBodyAccJerk-entropy()-X numeric
@attribute tBodyAccJerkMag-entropy() numeric
@attribute fBodyAccJerk-entropy()-X numeric
@attribute fBodyAccJerk-entropy()-Y numeric
@attribute angle(X-gravityMean) numeric
@attribute activity {STANDING,SITTING,LAYING,WALKING,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS}

@data
0.954589,-0.260499,-0.280346,0.974369,0.876264,-0.875096,-0.83462,-1,-1,-0.763702,STANDING
0.874099,0.042479,0.151581,0.849573,0.672448,-0.50173,-0.575604,-1,-0.93912,-0.667085,SITTING
0.835664,0.160675,0.151581,0.849573,0.577092,-0.70518,-0.870628,-1,-1,-0.564807,SITTING
0.83696,0.151877,0.146081,0.850499,0.580155,-0.831832,-0.857807,-1,-1,-0.579367,SITTING
0.838788,0.150702,0.141213,0.858348,0.584552,-0.408698,-0.147048,-0.384718,-0.361909,-0.582806,SITTING
0.810805,0.195595,0.285064,0.716291,0.519472,0.058529,0.135082,-0.274526,-0.309374,-0.552939,SITTING
0.703086,0.314068,0.391835,0.624988,0.281388,-0.125904,-0.238659,-0.485126,-0.618236,-0.418368,SITTING
0.618258,0.409503,0.39282,0.624988,0.097539,-0.664456,-0.772511,-1,-1,-0.305884,SITTING
0.622066,0.419867,0.39282,0.626149,0.104897,-0.875096,-0.865724,-1,-1,-0.309195,SITTING
0.627451,0.415037,0.378554,0.651321,0.115677,-0.915776,-0.889278,-1,-1,-0.316732,SITTING
0.625323,0.416489,0.378554,0.651321,0.111366,-0.875096,-0.909358,-1,-1,-0.314575,SITTING
0.625774,0.416857,0.379069,0.651793,0.112277,-0.817601,-0.920737,-1,-1,-0.314886,SITTING
0.890938,0.113591,0.157018,0.895032,0.713041,-0.648813,-0.63018,-1,-1,-0.654356,SITTING
0.87654,0.125581,0.110456,0.894955,0.67697,-0.733366,-0.830802,-1,-1,-0.650782,SITTING
0.874822,0.140067,0.110693,0.894955,0.672685,-0.769828,-0.883246,-1,-1,-0.645146,SITTING
0.876462,0.139236,0.110693,0.896824,0.676751,-0.787925,-0.848659,-1,-1,-0.646578,SITTING
0.876454,0.138434,0.112655,0.897084,0.676731,-0.817601,-0.821896,-1,-1,-0.647062,SITTING
0.875381,0.142223,0.114416,0.896397,0.67407,-0.839274,-0.838706,-1,-1,-0.645105,SITTING
0.875798,0.142585,0.114416,0.896397,0.675105,-0.807351,-0.890448,-1,-1,-0.646334,SITTING
0.875995,0.14163,0.114524,0.896513,0.675594,-0.75742,-0.907576,-1,-1,-0.647997,SITTING
0.874782,0.144858,0.115863,0.896314,0.672583,-0.748262,-0.946284,-1,-1,-0.646254,SITTING
0.874746,0.145603,0.115863,0.896314,0.672496,-0.75742,-0.927732,-1,-1,-0.646044,SITTING
0.874232,0.145727,0.118028,0.894436,0.671221,-0.748262,-0.813468,-1,-1,-0.644851,SITTING
0.873242,0.147586,0.118145,0.894411,0.668769,-0.797465,-0.845833,-1,-1,-0.64322,SITTING
0.874109,0.145677,0.118145,0.894411,0.670917,-0.828235,-0.892918,-1,-1,-0.64546,SITTING
-0.255044,0.774659,0.729228,-0.289102,-0.95358,-0.501587,-0.424745,-0.646947,-0.52131,0.432479,LAYING
-0.210148,0.773905,0.729228,-0.194196,-0.935651,-0.729757,-0.816502,-1,-1,0.399853,LAYING
-0.208765,0.771712,0.725186,-0.165103,-0.935042,-0.787925,-0.829532,-1,-1,0.399066,LAYING
-0.209564,0.771097,0.723571,-0.165103,-0.935437,-0.817601,-0.8608,-1,-1,0.399555,LAYING
-0.208748,0.771037,0.723519,-0.163477,-0.93504,-0.817601,-0.871967,-1,-1,0.398889,LAYING
-0.208717,0.771291,0.723519,-0.163089,-0.935025,-0.797465,-0.82315,-1,-1,0.398897,LAYING
-0.208633,0.771351,0.723563,-0.163251,-0.934984,-0.769828,-0.815909,-1,-1,0.398881,LAYING
-0.20856,0.770749,0.723563,-0.163251,-0.934948,-0.807351,-0.846939,-1,-1,0.398778,LAYING
-0.207607,0.769923,0.722989,-0.163245,-0.93448,-0.817601,-0.879011,-1,-1,0.39802,LAYING
-0.206363,0.769296,0.721955,-0.161637,-0.933869,-0.753629,-0.916208,-1,-1,0.397134,LAYING
-0.206499,0.769152,0.722155,-0.161663,-0.933937,-0.708021,-0.899422,-1,-1,0.397303,LAYING
-0.207026,0.769628,0.722194,-0.161663,-0.934196,-0.752955,-0.908344,-1,-1,0.397758,LAYING
-0.206992,0.769467,0.722194,-0.161663,-0.934179,-0.714237,-0.859539,-1,-1,0.397791,LAYING
0.044744,0.758454,0.746144,-0.034266,-0.730883,-0.048739,-0.09801,-0.468573,-0.359576,0.205759,LAYING
-0.047728,0.768669,0.746144,-0.034266,-0.832169,-0.574383,-0.694904,-1,-1,0.278544,LAYING
-0.0417,0.755542,0.718524,-0.113391,-0.826864,-0.232701,-0.024994,-0.361315,0.044567,0.272083,LAYING
-0.187704,0.702622,0.718524,-0.361042,-0.904559,0.037543,0.138279,-0.301726,0.106158,0.378792,LAYING
-0.35146,0.655186,0.676927,-0.361858,-0.982168,-0.228859,-0.3275,-0.75852,-0.574643,0.502386,LAYING
-0.339392,0.697097,0.705769,-0.361858,-0.981132,-0.03038,0.123539,-0.239725,-0.283634,0.494535,LAYING
-0.36048,0.716437,0.720434,-0.555148,-0.979776,0.370658,0.507161,0.164769,0.540284,0.508733,LAYING
-0.573496,0.525105,0.720434,-0.709935,-0.965197,0.355084,0.478213,0.138138,0.537429,0.668284,LAYING
-0.741821,0.160141,0.505254,-0.71024,-0.933209,-0.173932,-0.135562,-0.43585,-0.457403,0.79297,LAYING
-0.756725,-0.058996,0.090769,-0.71024,-0.926915,-0.527423,-0.632841,-0.943699,-0.93912,0.796928,LAYING
-0.756077,-0.06842,-0.071104,-0.702503,-0.927269,-0.550216,-0.693144,-0.902724,-1,0.797394,LAYING
-0.758751,-0.045998,-0.06639,-0.702503,-0.925891,-0.748262,-0.894723,-1,-1,0.799174,LAYING
-0.756439,-0.040043,-0.060687,-0.701972,-0.927091,-0.73722,-0.920318,-1,-1,0.797257,LAYING
-0.755077,-0.034589,-0.05755,-0.698842,-0.927797,-0.650052,-0.87376,-1,-1,0.796412,LAYING
0.945303,-0.245941,-0.252564,0.960748,0.851975,0.594592,0.768912,0.665137,0.563729,-0.773707,WALKING
0.941113,-0.252035,-0.252564,0.953407,0.841063,0.714579,0.760292,0.52278,0.542132,-0.767163,WALKING
0.946364,-0.264278,-0.270062,0.953407,0.854795,0.713008,0.688843,0.667602,0.635262,-0.757414,WALKING
0.952445,-0.259838,-0.273255,0.962737,0.870657,0.631484,0.730801,0.678097,0.504683,-0.762534,WALKING
0.947125,-0.2571,-0.273595,0.960761,0.856744,0.505548,0.743025,0.554427,0.705691,-0.763968,WALKING
0.945749,-0.254778,-0.265421,0.960761,0.853137,0.682666,0.67135,0.436604,0.527795,-0.766186,WALKING
0.950212,-0.24483,-0.253457,0.966672,0.864796,0.753254,0.695304,0.661391,0.589284,-0.776677,WALKING
0.94913,-0.236905,-0.253234,0.961179,0.861978,0.667793,0.739818,0.626559,0.610467,-0.784225,WALKING
0.946917,-0.262056,-0.27383,0.95788,0.856187,0.724317,0.690451,0.571857,0.592953,-0.760176,WALKING
0.94687,-0.255801,-0.272068,0.962708,0.856057,0.696156,0.743207,0.60064,0.70382,-0.764113,WALKING
0.945419,-0.254668,-0.272068,0.961715,0.852272,0.610158,0.712785,0.621225,0.559974,-0.765488,WALKING
0.941937,-0.255759,-0.274101,0.953764,0.8432,0.62471,0.79093,0.620916,0.625677,-0.764601,WALKING
0.937468,-0.2584,-0.274261,0.952754,0.831594,0.613628,0.75497,0.621233,0.625004,-0.760242,WALKING
0.937195,-0.266212,-0.277085,0.952754,0.83089,0.613336,0.759089,0.652974,0.601331,-0.752882,WALKING
0.947823,-0.265399,-0.273284,0.955641,0.85862,0.672973,0.769102,0.647572,0.751009,-0.755976,WALKING
0.957365,-0.258512,-0.273284,0.967749,0.883577,0.679426,0.802178,0.686061,0.770604,-0.763997,WALKING
0.954731,-0.254213,-0.269217,0.963674,0.876662,0.723719,0.801898,0.694763,0.611697,-0.768015,WALKING
0.945028,-0.251478,-0.268175,0.957697,0.851278,0.728613,0.793441,0.698923,0.494163,-0.769477,WALKING
0.943344,-0.244003,-0.250288,0.957697,0.846874,0.644158,0.844136,0.592288,0.628885,-0.776736,WALKING
0.948648,-0.234382,-0.250288,0.961575,0.860706,0.564846,0.790974,0.522391,0.654324,-0.786963,WALKING
0.956418,-0.260003,-0.275615,0.968836,0.881081,0.572987,0.773285,0.65221,0.716938,-0.764185,WALKING
0.9515,-0.263563,-0.279456,0.953105,0.868235,0.640883,0.800416,0.606432,0.642487,-0.756998,WALKING
0.938514,-0.268419,-0.280788,0.948663,0.834387,0.671292,0.762225,0.690993,0.636793,-0.750739,WALKING
0.934472,-0.269365,-0.286559,0.948663,0.823835,0.690133,0.813661,0.727402,0.801465,-0.749963,WALKING
0.93776,-0.268829,-0.286583,0.951106,0.832359,0.710829,0.762225,0.730391,0.76013,-0.751209,WALKING
0.938616,-0.268285,-0.278427,0.951106,0.834578,0.696527,0.816589,0.640234,0.777382,-0.752181,WALKING
0.940759,-0.258864,-0.266912,0.954665,0.840149,0.650664,0.753552,0.671359,0.759249,-0.761917,WALKING
0.950222,-0.249071,-0.266912,0.955476,0.864892,0.678847,0.749603,0.632912,0.617976,-0.773199,WALKING
0.956835,-0.245663,-0.260234,0.973408,0.882171,0.57249,0.764691,0.68247,0.728523,-0.777332,WALKING
0.953675,-0.242554,-0.257654,0.968621,0.873872,0.687908,0.833954,0.697029,0.774788,-0.779436,WALKING
0.952263,-0.251757,-0.257654,0.965704,0.870168,0.778196,0.806407,0.49651,0.691786,-0.770005,WALKING
0.947159,-0.264409,-0.274236,0.95842,0.85684,0.597119,0.794814,0.562489,0.741851,-0.756089,WALKING
0.94365,-0.261634,-0.270872,0.95842,0.847666,0.523485,0.784631,0.648096,0.699638,-0.757782,WALKING
0.942148,-0.264207,-0.274506,0.940454,0.843988,0.599801,0.838996,0.671109,0.763363,-0.755076,WALKING
0.931596,-0.269435,-0.281722,0.940454,0.816424,0.697168,0.752115,0.722821,0.62998,-0.747517,WALKING
0.941203,-0.269258,-0.287077,0.950622,0.841316,0.789362,0.760183,0.608998,0.62737,-0.750696,WALKING
0.946306,-0.265743,-0.272231,0.961373,0.854587,0.669182,0.764691,0.6118,0.635179,-0.755662,WALKING
0.945882,-0.255295,-0.267647,0.960824,0.85348,0.654772,0.764059,0.61088,0.64007,-0.76618,WALKING
0.942575,-0.251664,-0.267647,0.957526,0.844865,0.68041,0.804572,0.577149,0.631057,-0.769542,WALKING
0.942459,-0.249341,-0.26019,0.957526,0.844565,0.623203,0.76892,0.679642,0.642682,-0.771905,WALKING
0.947994,-0.244009,-0.26019,0.959586,0.859006,0.651547,0.739258,0.469692,0.575279,-0.777916,WALKING
0.951856,-0.247778,-0.260267,0.969168,0.869098,0.778506,0.740631,0.592532,0.550376,-0.774767,WALKING
0.952689,-0.24892,-0.258784,0.969363,0.871284,0.775564,0.736864,0.582615,0.577684,-0.7741,WALKING
0.950744,-0.241491,-0.255826,0.965441,0.866192,0.659709,0.727079,0.568012,0.701905,-0.780883,WALKING
0.949913,-0.238026,-0.25443,0.965356,0.864014,0.546018,0.773031,0.637451,0.722044,-0.783154,WALKING
0.952768,-0.240242,-0.25443,0.965356,0.871496,0.491915,0.744046,0.591159,0.657453,-0.779954,WALKING
0.951426,-0.248351,-0.254473,0.965143,0.867983,0.614411,0.720691,0.463655,0.510679,-0.771363,WALKING
0.931186,-0.250038,-0.24563,0.932294,0.815504,0.734656,0.683801,0.606915,0.551932,-0.76834,WALKING_DOWNSTAIRS
0.947062,-0.230489,-0.242397,0.936635,0.856681,0.734189,0.732518,0.723773,0.56856,-0.790764,WALKING_DOWNSTAIRS
0.959299,-0.220416,-0.226928,0.970016,0.888673,0.612217,0.785725,0.698585,0.668351,-0.802236,WALKING_DOWNSTAIRS
0.958983,-0.216656,-0.226928,0.959434,0.887867,0.526407,0.813733,0.641703,0.70279,-0.803619,WALKING_DOWNSTAIRS
0.949462,-0.217446,-0.230184,0.958984,0.86289,0.619304,0.796089,0.736823,0.732988,-0.800668,WALKING_DOWNSTAIRS
0.954663,-0.206925,-0.213352,0.958984,0.876578,0.561767,0.809153,0.800556,0.709615,-0.812889,WALKING_DOWNSTAIRS
0.958271,-0.207273,-0.213352,0.961707,0.886011,0.633307,0.75028,0.801968,0.651043,-0.811397,WALKING_DOWNSTAIRS
0.949766,-0.216004,-0.225615,0.961707,0.863643,0.671782,0.767547,0.680517,0.550613,-0.802921,WALKING_DOWNSTAIRS
0.951622,-0.210712,-0.227367,0.962302,0.868502,0.599909,0.735192,0.715905,0.564807,-0.810635,WALKING_DOWNSTAIRS
0.920835,-0.267012,-0.267755,0.92901,0.788768,0.657471,0.864818,0.772212,0.528651,-0.746162,WALKING_DOWNSTAIRS
0.927219,-0.257528,-0.267755,0.92901,0.805158,0.578348,0.815568,0.649932,0.715811,-0.761985,WALKING_DOWNSTAIRS
0.938011,-0.265525,-0.274259,0.944705,0.833171,0.541165,0.862424,0.781031,0.662639,-0.755776,WALKING_DOWNSTAIRS
0.94298,-0.276979,-0.278035,0.944782,0.846134,0.765796,0.850199,0.799483,0.671066,-0.743642,WALKING_DOWNSTAIRS
0.934585,-0.276713,-0.279703,0.944228,0.824246,0.614674,0.799946,0.704753,0.576006,-0.743233,WALKING_DOWNSTAIRS
0.93801,-0.267213,-0.279672,0.944228,0.833115,0.428663,0.791327,0.70116,0.549984,-0.750713,WALKING_DOWNSTAIRS
0.939264,-0.262407,-0.261872,0.944631,0.83636,0.489576,0.850759,0.726187,0.545889,-0.755377,WALKING_DOWNSTAIRS
0.935329,-0.24875,-0.257798,0.944631,0.826086,0.443536,0.785725,0.750332,0.518926,-0.771162,WALKING_DOWNSTAIRS
0.92423,-0.276421,-0.28335,0.933958,0.797458,0.497384,0.810174,0.54166,0.633202,-0.739926,WALKING_DOWNSTAIRS
0.933489,-0.262377,-0.274413,0.936733,0.821327,0.529937,0.778353,0.711208,0.590279,-0.757698,WALKING_DOWNSTAIRS
0.945203,-0.254969,-0.262978,0.952161,0.851762,0.691955,0.788184,0.693559,0.722562,-0.766224,WALKING_DOWNSTAIRS
0.928139,-0.267998,-0.262978,0.908544,0.80813,0.70272,0.818242,0.71443,0.777711,-0.750669,WALKING_DOWNSTAIRS
0.907969,-0.265542,-0.254226,0.908544,0.756107,0.538473,0.784072,0.727291,0.600608,-0.751201,WALKING_DOWNSTAIRS
0.930193,-0.249408,-0.254226,0.911237,0.813189,0.596143,0.771314,0.654202,0.391214,-0.768861,WALKING_DOWNSTAIRS
0.942567,-0.253741,-0.254326,0.949622,0.844896,0.70599,0.796017,0.723302,0.510299,-0.762809,WALKING_DOWNSTAIRS
0.937641,-0.248511,-0.259261,0.949622,0.832057,0.590334,0.793721,0.682877,0.613111,-0.770943,WALKING_DOWNSTAIRS
0.939355,-0.280996,-0.265245,0.915996,0.837114,0.629969,0.576322,0.418601,0.268428,-0.73018,WALKING_UPSTAIRS
0.907828,-0.316394,-0.306098,0.915996,0.755648,0.629033,0.576772,0.338724,0.20972,-0.695481,WALKING_UPSTAIRS
0.903321,-0.328781,-0.340539,0.916175,0.744109,0.528797,0.606777,0.261577,0.333776,-0.68162,WALKING_UPSTAIRS
0.912866,-0.325376,-0.334983,0.916986,0.768419,0.602007,0.608268,0.345569,0.425322,-0.686715,WALKING_UPSTAIRS
0.919686,-0.323277,-0.334983,0.917057,0.785848,0.743084,0.609868,0.40472,0.49958,-0.693267,WALKING_UPSTAIRS
0.914471,-0.319897,-0.324477,0.919868,0.772509,0.652853,0.567917,0.434095,0.384599,-0.698389,WALKING_UPSTAIRS
0.913074,-0.316659,-0.324477,0.919868,0.768898,0.595279,0.588138,0.457712,0.335602,-0.702253,WALKING_UPSTAIRS
0.912149,-0.32596,-0.328291,0.922707,0.766539,0.699051,0.639639,0.427092,0.41895,-0.69189,WALKING_UPSTAIRS
0.93207,-0.319201,-0.274419,0.916375,0.818436,0.730708,0.585691,0.505857,0.284865,-0.697662,WALKING_UPSTAIRS
0.90584,-0.352849,-0.351042,0.916375,0.750503,0.607495,0.578417,0.401244,0.28338,-0.662435,WALKING_UPSTAIRS
0.898427,-0.356193,-0.368452,0.900412,0.731797,0.400739,0.602241,0.42371,0.365826,-0.657645,WALKING_UPSTAIRS
0.895217,-0.355796,-0.36739,0.900412,0.72368,0.473366,0.575933,0.417918,0.338879,-0.658032,WALKING_UPSTAIRS
0.89888,-0.352133,-0.365062,0.908591,0.732887,0.536631,0.514938,0.398222,0.315665,-0.662236,WALKING_UPSTAIRS
0.89888,-0.347659,-0.358979,0.908591,0.732884,0.563247,0.534417,0.421628,0.38991,-0.667117,WALKING_UPSTAIRS
0.899962,-0.347674,-0.358979,0.910639,0.735606,0.507012,0.542602,0.377121,0.349425,-0.6674,WALKING_UPSTAIRS
0.895605,-0.359032,-0.359019,0.903408,0.724652,0.427573,0.436557,0.197983,0.182143,-0.653496,WALKING_UPSTAIRS
0.891028,-0.367134,-0.379066,0.903408,0.713114,0.388473,0.467378,0.135627,0.206351,-0.644091,WALKING_UPSTAIRS
0.925564,-0.322236,-0.296672,0.914776,0.801373,0.534626,0.505198,0.300498,0.361819,-0.695159,WALKING_UPSTAIRS
0.905405,-0.345054,-0.350236,0.914776,0.749395,0.540422,0.570916,0.413345,0.544217,-0.669466,WALKING_UPSTAIRS
0.899788,-0.350764,-0.359492,0.903109,0.735214,0.56912,0.579483,0.41893,0.557333,-0.662973,WALKING_UPSTAIRS
0.897809,-0.353215,-0.358946,0.903109,0.730207,0.554613,0.543227,0.36001,0.341985,-0.662454,WALKING_UPSTAIRS
0.900299,-0.343255,-0.349743,0.905385,0.73648,0.507176,0.593849,0.323868,0.472815,-0.6714,WALKING_UPSTAIRS
0.895098,-0.337585,-0.349743,0.904094,0.723382,0.609619,0.558613,0.341329,0.455328,-0.674013,WALKING_UPSTAIRS
0.893908,-0.342042,-0.354531,0.902839,0.720373,0.661579,0.611722,0.446594,0.461582,-0.671326,WALKING_UPSTAIRS
0.89934,-0.345135,-0.361252,0.902839,0.734053,0.568034,0.585436,0.357501,0.334703,-0.670256,WALKING_UPSTAIRS
0.900215,-0.346016,-0.360073,0.910726,0.736244,0.500276,0.531553,0.51036,0.385417,-0.667808,WALKING_UPSTAIRS
0.929024,-0.336828,-0.337991,0.938578,0.809897,-0.761244,-0.736294,-1,-1,-0.687583,STANDING
0.921825,-0.347179,-0.356545,0.938578,0.79124,-0.748262,-0.829179,-1,-1,-0.676606,STANDING
0.925798,-0.343945,-0.357147,0.942829,0.801438,-0.72265,-0.834585,-1,-1,-0.680487,STANDING
0.927979,-0.338227,-0.348778,0.947447,0.807052,-0.72265,-0.671027,-1,-0.93912,-0.686193,STANDING
0.929994,-0.332431,-0.346136,0.948406,0.812249,-0.714697,-0.661268,-1,-0.85688,-0.692017,STANDING
0.928369,-0.336479,-0.346136,0.945013,0.808064,-0.700584,-0.728989,-1,-1,-0.687943,STANDING
0.924936,-0.344709,-0.354649,0.944883,0.799222,-0.709067,-0.800502,-1,-1,-0.679586,STANDING
0.924878,-0.345223,-0.361591,0.944883,0.799071,-0.787925,-0.914938,-1,-1,-0.679016,STANDING
0.925551,-0.343631,-0.361224,0.945603,0.800802,-0.778718,-0.681726,-1,-1,-0.680623,STANDING
0.925115,-0.343151,-0.361224,0.945663,0.799681,-0.752955,-0.665805,-1,-1,-0.681004,STANDING
0.925066,-0.343715,-0.361526,0.945663,0.799553,-0.839274,-0.806007,-1,-1,-0.680436,STANDING
0.925695,-0.343208,-0.35931,0.945999,0.801172,-0.888054,-0.811715,-1,-1,-0.680985,STANDING
0.925789,-0.342439,-0.359303,0.945068,0.801413,-0.875096,-0.874075,-1,-1,-0.681724,STANDING
0.924316,-0.344718,-0.359303,0.943752,0.797628,-0.828235,-0.802423,-1,-1,-0.679295,STANDING
0.911659,-0.368869,-0.348536,0.903496,0.765513,-0.708021,-0.777919,-1,-1,-0.651247,STANDING
0.92697,-0.337455,-0.348536,0.938111,0.80446,-0.797465,-0.919106,-1,-1,-0.685068,STANDING
0.926286,-0.341075,-0.350382,0.945955,0.802694,-0.862673,-0.927479,-1,-1,-0.68125,STANDING
0.924857,-0.342859,-0.360098,0.9453,0.799015,-0.797465,-0.927479,-1,-1,-0.678848,STANDING
0.924292,-0.343372,-0.360098,0.944103,0.797565,-0.74495,-0.883246,-1,-1,-0.678544,STANDING
0.923196,-0.347089,-0.361094,0.943149,0.794749,-0.807351,-0.889278,-1,-1,-0.674753,STANDING
0.92255,-0.348574,-0.364266,0.943149,0.79309,-0.828235,-0.897711,-1,-1,-0.672715,STANDING
0.922889,-0.347,-0.364261,0.943348,0.793959,-0.862673,-0.90075,-1,-1,-0.673896,STANDING
0.923171,-0.346094,-0.36401,0.943897,0.794685,-0.875096,-0.961251,-1,-1,-0.674613,STANDING
0.923341,-0.345176,-0.361416,0.943961,0.795122,-0.862673,-0.955373,-1,-1,-0.675481,STANDING
0.923878,-0.343659,-0.361085,0.944033,0.7965,-0.946389,-0.865477,-1,-1,-0.677127,STANDING
0.92455,-0.342725,-0.360478,0.944925,0.798226,-0.930676,-0.843447,-1,-1,-0.678179,STANDING
0.786291,0.304271,0.321686,0.791005,0.460975,-0.669633,-0.619692,-1,-0.93912,-0.498367,SITTING
0.778119,0.322097,0.321686,0.791005,0.441605,-0.839274,-0.798974,-1,-1,-0.498402,SITTING
0.7854,0.308363,0.276988,0.804184,0.458358,-0.828235,-0.791266,-1,-1,-0.512623,SITTING
0.785523,0.311442,0.277106,0.808871,0.458641,-0.817601,-0.77041,-1,-1,-0.509185,SITTING
0.785614,0.311466,0.277106,0.808871,0.458851,-0.828235,-0.79291,-1,-1,-0.509612,SITTING
0.785964,0.311179,0.277564,0.809531,0.459663,-0.828235,-0.877088,-1,-1,-0.509878,SITTING
0.785573,0.312606,0.278079,0.8092,0.458756,-0.839274,-0.887548,-1,-1,-0.508644,SITTING
0.785579,0.312331,0.278079,0.8092,0.45877,-0.828235,-0.92966,-1,-1,-0.509301,SITTING
0.7858,0.311748,0.27696,0.809278,0.459282,-0.807351,-0.895607,-1,-1,-0.5106,SITTING
0.78585,0.312049,0.27696,0.809545,0.459399,-0.769828,-0.874934,-1,-1,-0.510716,SITTING
0.785725,0.311974,0.277836,0.809016,0.459108,-0.761244,-0.906469,-1,-1,-0.510461,SITTING
-0.103088,0.801893,0.759674,-0.095019,-0.872408,-0.518052,-0.572949,-0.943699,-0.792618,0.319305,LAYING
-0.06299,0.800033,0.759674,-0.066608,-0.843984,-0.730889,-0.894723,-1,-1,0.289301,LAYING
-0.048389,0.795677,0.74937,-0.010948,-0.833082,-0.722552,-0.896794,-1,-1,0.278549,LAYING
-0.047928,0.795746,0.747364,-0.006818,-0.832721,-0.684308,-0.882073,-1,-1,0.278132,LAYING
-0.046713,0.795408,0.747292,-0.006361,-0.831767,-0.774319,-0.905227,-1,-1,0.277052,LAYING
-0.046617,0.794822,0.746731,-0.005144,-0.831693,-0.817601,-0.95389,-1,-1,0.276726,LAYING
-0.046187,0.794504,0.746422,-0.005144,-0.831354,-0.761244,-0.873115,-1,-1,0.276419,LAYING
-0.045756,0.794941,0.746947,-0.004372,-0.831015,-0.787925,-0.792642,-1,-1,0.276305,LAYING
-0.046239,0.795038,0.746947,-0.00438,-0.831396,-0.761244,-0.859539,-1,-1,0.27664,LAYING
-0.04622,0.794623,0.746469,-0.004782,-0.83138,-0.722552,-0.914938,-1,-1,0.276504,LAYING
-0.046506,0.794714,0.746853,-0.005017,-0.831605,-0.778718,-0.884619,-1,-1,0.276829,LAYING
